guionistas,titulo,pais,votos,votacion,nota
Reginald Rose,Doce hombres sin piedad ,Estados Unidos,70179.0,8.7,10
James Agee,La noche del cazador ,Estados Unidos,31360.0,8.1,10
Davis Grubb,La noche del cazador ,Estados Unidos,31360.0,8.1,10
Willis Goldbeck,La parada de los monstruos ,Estados Unidos,23211.0,8.2,10
Leon Gordon,La parada de los monstruos ,Estados Unidos,23211.0,8.2,10
Al Boasberg,La parada de los monstruos ,Estados Unidos,23211.0,8.2,10
Tod Robbins,La parada de los monstruos ,Estados Unidos,23211.0,8.2,10
Charles Chaplin,Luces de la ciudad ,Estados Unidos,32742.0,8.6,10
Craig Mazin,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
Neil Druckmann,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
Naughty Dog,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
The Duffer Brothers,Stranger Things 4 (Serie de TV),Estados Unidos,13130.0,7.5,9
Caitlin Schneiderhan,Stranger Things 4 (Serie de TV),Estados Unidos,13130.0,7.5,9
Paul Dichter,Stranger Things 4 (Serie de TV),Estados Unidos,13130.0,7.5,9
Kate Trefry,Stranger Things 4 (Serie de TV),Estados Unidos,13130.0,7.5,9
Curtis Gwinn,Stranger Things 4 (Serie de TV),Estados Unidos,13130.0,7.5,9
Álex de la Iglesia,30 monedas (Serie de TV),España,13185.0,6.3,9
Jorge Guerricaechevarría,30 monedas (Serie de TV),España,13185.0,6.3,9
Alberto Morago,¿Qué co#o está pasando? ,España,973.0,6.8,9
The Duffer Brothers,Stranger Things 2 (Serie de TV),Estados Unidos,32696.0,7.4,9
Justin Doble,Stranger Things 2 (Serie de TV),Estados Unidos,32696.0,7.4,9
Jessie Nickson-Lopez,Stranger Things 2 (Serie de TV),Estados Unidos,32696.0,7.4,9
Kate Trefey,Stranger Things 2 (Serie de TV),Estados Unidos,32696.0,7.4,9
Justin Benson,El infinito ,Estados Unidos,5726.0,5.6,9
Steve Cutts,Happiness (C),Reino Unido,1535.0,7.2,9
Jordan Peele,Déjame salir ,Estados Unidos,46362.0,6.8,9
Adrián Molina,Coco ,Estados Unidos,52789.0,8.0,9
Matthew Aldrich,Coco ,Estados Unidos,52789.0,8.0,9
Lee Unkrich,Coco ,Estados Unidos,52789.0,8.0,9
Jason Katz,Coco ,Estados Unidos,52789.0,8.0,9
Matthew Aldrich,Coco ,Estados Unidos,52789.0,8.0,9
Adrián Molina,Coco ,Estados Unidos,52789.0,8.0,9
Matt Duffer,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
Ross Duffer,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
The Duffer Brothers,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
Jessica Mecklenburg,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
Justin Doble,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
Alison Tatlock,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
Jessie Nickson-Lopez,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
Don Hertzfeldt,World of Tomorrow (C),Estados Unidos,1441.0,7.2,9
Alex Garland,Ex Machina ,Reino Unido,52678.0,7.1,9
Jonathan Nolan,Interstellar ,Estados Unidos,101097.0,7.9,9
Christopher Nolan,Interstellar ,Estados Unidos,101097.0,7.9,9
Kip Thorne,Interstellar ,Estados Unidos,101097.0,7.9,9
David Robert Mitchell,It Follows ,Estados Unidos,25499.0,6.3,9
Paolo Sorrentino,La gran belleza ,Italia,36800.0,7.4,9
Umberto Contarello,La gran belleza ,Italia,36800.0,7.4,9
Wentworth Miller,Stoker ,Estados Unidos,27159.0,6.6,9
Dan Harmon,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Justin Roiland,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Tom Kauffman,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Eric Acosta,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Wade Randolph,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Ryan Ridley,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Mike McMahan,Rick y Morty (Serie de TV),Estados Unidos,30732.0,8.3,9
Spike Jonze,Her ,Estados Unidos,77359.0,7.5,9
Isao Takahata,El cuento de la princesa Kaguya ,Japón,9035.0,7.6,9
Riko Sakaguchi,El cuento de la princesa Kaguya ,Japón,9035.0,7.6,9
James Ward Byrkit,Coherence ,Estados Unidos,33886.0,7.1,9
Alex Manugian,Coherence ,Estados Unidos,33886.0,7.1,9
Don Hertzfeldt,It's Such a Beautiful Day (C),Estados Unidos,1368.0,7.5,9
Laeta Kalogridis,Shutter Island ,Estados Unidos,125011.0,7.6,9
Dennis Lehane,Shutter Island ,Estados Unidos,125011.0,7.6,9
John McLaughlin,Cisne negro ,Estados Unidos,116245.0,7.6,9
Mark Heyman,Cisne negro ,Estados Unidos,116245.0,7.6,9
Andres Heinz,Cisne negro ,Estados Unidos,116245.0,7.6,9
Bo Mathorne,El evangelio de Backwater (C),Dinamarca,1424.0,7.0,9
Christopher Nolan,Origen ,Estados Unidos,156576.0,8.0,9
Duncan Jones,Moon ,Reino Unido,52864.0,7.1,9
Nathan Parker,Moon ,Reino Unido,52864.0,7.1,9
Simon Beaufoy,Slumdog Millionaire ,Reino Unido,136598.0,7.7,9
Vikas Swarup,Slumdog Millionaire ,Reino Unido,136598.0,7.7,9
Nick Schenk,Gran Torino ,Estados Unidos,146335.0,8.2,9
Nick Schenk,Gran Torino ,Estados Unidos,146335.0,8.2,9
Dave Johannson,Gran Torino ,Estados Unidos,146335.0,8.2,9
Don Hertzfeldt,I Am So Proud of You (C),Estados Unidos,1087.0,7.3,9
Brad Bird,Ratatouille ,Estados Unidos,99514.0,7.3,9
Jan Pinkava,Ratatouille ,Estados Unidos,99514.0,7.3,9
Jim Capobianco,Ratatouille ,Estados Unidos,99514.0,7.3,9
Brad Bird,Ratatouille ,Estados Unidos,99514.0,7.3,9
Florian Henckel von Donnersmarck,La vida de los otros ,Alemania,75445.0,8.0,9
Don Hertzfeldt,Everything Will Be Ok (C),Estados Unidos,2063.0,7.0,9
Woody Allen,Match Point ,Reino Unido,120694.0,7.7,9
Charlie Kaufman,¡Olvídate de mí! ,Estados Unidos,104272.0,7.6,9
Michel Gondry,¡Olvídate de mí! ,Estados Unidos,104272.0,7.6,9
Pierre Bismuth,¡Olvídate de mí! ,Estados Unidos,104272.0,7.6,9
Lars von Trier,Dogville ,Dinamarca,68434.0,7.5,9
John August,Big Fish ,Estados Unidos,130984.0,7.9,9
Daniel Wallace,Big Fish ,Estados Unidos,130984.0,7.9,9
David Simon,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
Ed Burns,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
Joy Kecken,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
Rafael Álvarez,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
Chris Collins,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
George Pelecanos,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
Richard Price,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
Dennis Lehane,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
David Mills,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
William F. Zorzi,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
Eric Overmyer,The Wire (Bajo escucha) (Serie de TV),Estados Unidos,48467.0,8.8,9
Braulio Mantovani,Ciudad de Dios ,Brasil,127594.0,8.4,9
Paulo Lins,Ciudad de Dios ,Brasil,127594.0,8.4,9
Ted Elliott,Shrek ,Estados Unidos,155549.0,7.7,9
Terry Rossio,Shrek ,Estados Unidos,155549.0,7.7,9
David N. Weiss,Shrek ,Estados Unidos,155549.0,7.7,9
Roger S.H. Schulman,Shrek ,Estados Unidos,155549.0,7.7,9
William Steig,Shrek ,Estados Unidos,155549.0,7.7,9
Richard Kelly,Donnie Darko ,Estados Unidos,80470.0,7.4,9
Darren Aronofsky,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Hubert Selby Jr.,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Hubert Selby Jr.,Réquiem por un sueño ,Estados Unidos,121368.0,7.8,9
Pedro Almodóvar,Todo sobre mi madre ,España,76513.0,7.1,9
Alan Ball,American Beauty ,Estados Unidos,170506.0,7.9,9
Jim Uhls,El club de la lucha ,Estados Unidos,186749.0,8.1,9
Chuck Palahniuk,El club de la lucha ,Estados Unidos,186749.0,8.1,9
M. Night Shyamalan,El sexto sentido ,Estados Unidos,162349.0,7.6,9
Stanley Kubrick,Eyes Wide Shut ,Reino Unido,63630.0,6.8,9
Frederic Raphael,Eyes Wide Shut ,Reino Unido,63630.0,6.8,9
Arthur Schnitzler,Eyes Wide Shut ,Reino Unido,63630.0,6.8,9
David McKenna,American History X ,Estados Unidos,152158.0,8.3,9
Brian Helgeland,L.A. Confidential ,Estados Unidos,78370.0,7.7,9
Curtis Hanson,L.A. Confidential ,Estados Unidos,78370.0,7.7,9
James Ellroy,L.A. Confidential ,Estados Unidos,78370.0,7.7,9
