productores,titulo,pais,votos,votacion,nota
DC Comics,El caballero oscuro ,Estados Unidos,153618.0,8.1,7
Warner Bros.,El caballero oscuro ,Estados Unidos,153618.0,8.1,7
Bazmark Films,Australia ,Australia,37201.0,5.8,7
20th Century Fox,Australia ,Australia,37201.0,5.8,7
Nexus Productions,This Way Up (C),Reino Unido,844.0,6.3,7
Disneynature,"Tierra, la película de nuestro planeta ",Reino Unido,15361.0,7.9,7
BBC,"Tierra, la película de nuestro planeta ",Reino Unido,15361.0,7.9,7
Discovery Channel,"Tierra, la película de nuestro planeta ",Reino Unido,15361.0,7.9,7
Discovery Channel,"Tierra, la película de nuestro planeta ",Reino Unido,15361.0,7.9,7
BBC,"Tierra, la película de nuestro planeta ",Reino Unido,15361.0,7.9,7
Warner Bros.,Harry Potter y la orden del Fénix ,Reino Unido,73505.0,6.4,7
Filmax,[•REC] ,España,85919.0,6.6,7
Castelao Productions,[•REC] ,España,85919.0,6.6,7
Instituto de Crédito Oficial (ICO),[•REC] ,España,85919.0,6.6,7
ICIC,[•REC] ,España,85919.0,6.6,7
RTVE,[•REC] ,España,85919.0,6.6,7
Canal+ España,[•REC] ,España,85919.0,6.6,7
Filmax,[•REC] ,España,85919.0,6.6,7
Pixar Animation Studios,Tu amiga la rata (C),Estados Unidos,1910.0,6.3,7
Walt Disney Pictures,Tu amiga la rata (C),Estados Unidos,1910.0,6.3,7
Notro Films,La habitación de Fermat ,España,27398.0,6.2,7
Producciones bajo la lluvia,Gritos en el pasillo ,España,2034.0,6.3,7
Perro Verde Films,Gritos en el pasillo ,España,2034.0,6.3,7
,Los falsificadores ,Austria,24312.0,7.2,7
The Geeworld Studios,Looking Glass (C),Suecia,162.0,5.6,7
DreamWorks SKG,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Participant Media,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Sidney Kimmel Entertainment,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Parkes+MacDonald Image Nation,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
China Film Group,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Beijing Happy Pictures Cultural Communications,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Kite Runner Holdings,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Ebeling Group,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Neal Street Productions,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Wonderland Films,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
DreamWorks SKG,Cometas en el cielo ,Estados Unidos,14316.0,7.2,7
Studiocanal,Inland Empire ,Estados Unidos,11976.0,6.4,7
Camerimage,Inland Empire ,Estados Unidos,11976.0,6.4,7
Asymetrical Production,Inland Empire ,Estados Unidos,11976.0,6.4,7
Warner Independent Pictures,A Scanner Darkly (Una mirada a la oscuridad) ,Estados Unidos,17262.0,6.6,7
Warner Independent Pictures,El velo pintado ,Estados Unidos,18907.0,6.9,7
WIP,El velo pintado ,Estados Unidos,18907.0,6.9,7
Stratus Film Co.,El velo pintado ,Estados Unidos,18907.0,6.9,7
Bob Yari Productions,El velo pintado ,Estados Unidos,18907.0,6.9,7
Class 5 Films,El velo pintado ,Estados Unidos,18907.0,6.9,7
Dragon Studios,El velo pintado ,Estados Unidos,18907.0,6.9,7
Emotion Pictures,El velo pintado ,Estados Unidos,18907.0,6.9,7
The Colleton Company,El velo pintado ,Estados Unidos,18907.0,6.9,7
The Mark Gordon Company,El velo pintado ,Estados Unidos,18907.0,6.9,7
Warner China Film HG Corporation,El velo pintado ,Estados Unidos,18907.0,6.9,7
Dony Permedi,Kiwi! (C),Estados Unidos,4070.0,6.9,7
YouTube,Kiwi! (C),Estados Unidos,4070.0,6.9,7
Chris Jones,The Passenger (C),Australia,180.0,5.6,7
Warner Bros.,Infiltrados ,Estados Unidos,136403.0,7.9,7
Plan B Entertainment,Infiltrados ,Estados Unidos,136403.0,7.9,7
IEG Virtual Studios,Infiltrados ,Estados Unidos,136403.0,7.9,7
Vertigo Entertainment,Infiltrados ,Estados Unidos,136403.0,7.9,7
Media Asia Films,Infiltrados ,Estados Unidos,136403.0,7.9,7
Warner Bros.,Infiltrados ,Estados Unidos,136403.0,7.9,7
The Weinstein Company,El caso Slevin ,Estados Unidos,58800.0,7.3,7
Ascendant Pictures,El caso Slevin ,Estados Unidos,58800.0,7.3,7
FilmEngine,El caso Slevin ,Estados Unidos,58800.0,7.3,7
Vip Medienfonds 4,El caso Slevin ,Estados Unidos,58800.0,7.3,7
Capitol Films,El caso Slevin ,Estados Unidos,58800.0,7.3,7
"""Mel's Cite du Cinema""",El caso Slevin ,Estados Unidos,58800.0,7.3,7
The Complex,El caso Slevin ,Estados Unidos,58800.0,7.3,7
Metro-Goldwyn-Mayer (MGM),El caso Slevin ,Estados Unidos,58800.0,7.3,7
Yari Film Group,El ilusionista ,Estados Unidos,99586.0,7.1,7
Contagious Entertainment,El ilusionista ,Estados Unidos,99586.0,7.1,7
Stillking Films,El ilusionista ,Estados Unidos,99586.0,7.1,7
Bob Yari Productions,El ilusionista ,Estados Unidos,99586.0,7.1,7
Michael London Productions,El ilusionista ,Estados Unidos,99586.0,7.1,7
Paramount Pictures,Babel ,Estados Unidos,87092.0,7.2,7
Paramount Vantage,Babel ,Estados Unidos,87092.0,7.2,7
Anonymous Content,Babel ,Estados Unidos,87092.0,7.2,7
Zeta Film,Babel ,Estados Unidos,87092.0,7.2,7
Central Films,Babel ,Estados Unidos,87092.0,7.2,7
Filmax,La caja Kovak ,España,9068.0,5.4,7
Estudios Picasso,La caja Kovak ,España,9068.0,5.4,7
Castelao Productions,La caja Kovak ,España,9068.0,5.4,7
Future Films,La caja Kovak ,España,9068.0,5.4,7
BBC Film,Scoop ,Reino Unido,56443.0,6.8,7
Focus Features,Scoop ,Reino Unido,56443.0,6.8,7
Ingenious Film Partners,Scoop ,Reino Unido,56443.0,6.8,7
Estudios Picasso,El laberinto del fauno ,España,119139.0,7.2,7
Tequila Gang,El laberinto del fauno ,España,119139.0,7.2,7
Telecinco,El laberinto del fauno ,España,119139.0,7.2,7
Sententia Entertainment,El laberinto del fauno ,España,119139.0,7.2,7
Esperanto Filmoj,El laberinto del fauno ,España,119139.0,7.2,7
Wild Bunch,El laberinto del fauno ,España,119139.0,7.2,7
Guillermo del Toro,El laberinto del fauno ,España,119139.0,7.2,7
Belén Atienza,El laberinto del fauno ,España,119139.0,7.2,7
Warner Independent Pictures,The Jacket ,Estados Unidos,15019.0,6.3,7
Mandalay Pictures,The Jacket ,Estados Unidos,15019.0,6.3,7
2929 Productions,The Jacket ,Estados Unidos,15019.0,6.3,7
Pixar Animation Studios,Jack-Jack ataca (C),Estados Unidos,4742.0,6.4,7
Walt Disney Pictures,Jack-Jack ataca (C),Estados Unidos,4742.0,6.4,7
Leize Producciones,Trece entre mil ,España,726.0,6.9,7
Notro Films,Trece entre mil ,España,726.0,6.9,7
Warner Bros.,Harry Potter y el cáliz de fuego ,Reino Unido,77017.0,6.6,7
Warner Bros.,La novia cadáver ,Estados Unidos,98959.0,7.2,7
Laika Entertainment,La novia cadáver ,Estados Unidos,98959.0,7.2,7
Patalex Productions,La novia cadáver ,Estados Unidos,98959.0,7.2,7
Will Vinton Studios,La novia cadáver ,Estados Unidos,98959.0,7.2,7
Tim Burton,La novia cadáver ,Estados Unidos,98959.0,7.2,7
Focus Features,El jardinero fiel ,Reino Unido,51207.0,7.3,7
UK Film Council,El jardinero fiel ,Reino Unido,51207.0,7.3,7
Lionsgate,Saw II ,Estados Unidos,53301.0,6.1,7
Twisted Pictures,Saw II ,Estados Unidos,53301.0,6.1,7
James Wan,Saw II ,Estados Unidos,53301.0,6.1,7
DreamWorks SKG,Munich ,Estados Unidos,55769.0,7.1,7
Universal Pictures,Munich ,Estados Unidos,55769.0,7.1,7
Amblin Entertainment,Munich ,Estados Unidos,55769.0,7.1,7
Universal Pictures,La intérprete ,Reino Unido,25071.0,6.0,7
Working Title Films,La intérprete ,Reino Unido,25071.0,6.0,7
Syncopy Production,Batman Begins ,Estados Unidos,109468.0,7.4,7
Legendary Pictures,Batman Begins ,Estados Unidos,109468.0,7.4,7
Patalex III Productions,Batman Begins ,Estados Unidos,109468.0,7.4,7
DC Comics,Batman Begins ,Estados Unidos,109468.0,7.4,7
Warner Bros.,Batman Begins ,Estados Unidos,109468.0,7.4,7
Banger Productions,Metal: A Headbanger's Journey ,Canadá,1554.0,7.5,7
Columbia Pictures,La ventana secreta ,Estados Unidos,27705.0,6.0,7
20th Century Fox,El día de mañana ,Estados Unidos,45668.0,5.6,7
Centropolis Entertainment,El día de mañana ,Estados Unidos,45668.0,5.6,7
Lionsgate,El día de mañana ,Estados Unidos,45668.0,5.6,7
DreamWorks SKG,La terminal ,Estados Unidos,63239.0,6.5,7
Constantin Film,El hundimiento ,Alemania,62356.0,7.4,7
Universal Pictures,Ray ,Estados Unidos,25126.0,7.1,7
Lionsgate,Crash (Colisión) ,Estados Unidos,106890.0,7.6,7
Bob Yari Productions,Crash (Colisión) ,Estados Unidos,106890.0,7.6,7
DEJ Productions,Crash (Colisión) ,Estados Unidos,106890.0,7.6,7
ApolloProScreen Filmproduktion,Crash (Colisión) ,Estados Unidos,106890.0,7.6,7
"""Bull's Eye Entertainment""",Crash (Colisión) ,Estados Unidos,106890.0,7.6,7
Incognito Pictures,Crash (Colisión) ,Estados Unidos,106890.0,7.6,7
Lionsgate,Crash (Colisión) ,Estados Unidos,106890.0,7.6,7
Lionsgate,Hotel Rwanda ,Reino Unido,41736.0,7.6,7
United Artists,Hotel Rwanda ,Reino Unido,41736.0,7.6,7
Warner Bros.,Harry Potter y el prisionero de Azkaban ,Reino Unido,82576.0,6.9,7
Heyday Films,Harry Potter y el prisionero de Azkaban ,Reino Unido,82576.0,6.9,7
1492 Pictures,Harry Potter y el prisionero de Azkaban ,Reino Unido,82576.0,6.9,7
WT2,Zombies Party ,Reino Unido,43918.0,6.8,7
Big Talk Productions,Zombies Party ,Reino Unido,43918.0,6.8,7
Universal Pictures,Zombies Party ,Reino Unido,43918.0,6.8,7
Miramax,Kill Bill. Volumen 2 ,Estados Unidos,140228.0,7.6,7
A Band Apart,Kill Bill. Volumen 2 ,Estados Unidos,140228.0,7.6,7
Wingnut Films,El señor de los anillos: El retorno del rey ,Nueva Zelanda,184999.0,8.2,7
New Line Cinema,El señor de los anillos: El retorno del rey ,Nueva Zelanda,184999.0,8.2,7
Mirage Entertainment,Cold Mountain ,Estados Unidos,42768.0,6.6,7
Bona Fide,Cold Mountain ,Estados Unidos,42768.0,6.6,7
Miramax,Cold Mountain ,Estados Unidos,42768.0,6.6,7
Miramax,Kill Bill. Volumen 1 ,Estados Unidos,185430.0,7.6,7
A Band Apart,Kill Bill. Volumen 1 ,Estados Unidos,185430.0,7.6,7
Miramax,Kill Bill. Volumen 1 ,Estados Unidos,185430.0,7.6,7
Barmak Film,Osama ,Afganistán,3979.0,7.2,7
NHK,Osama ,Afganistán,3979.0,7.2,7
LeBrocquy Fraser,Osama ,Afganistán,3979.0,7.2,7
Bocaboca,Planta 4ª ,España,23946.0,6.6,7
Producciones La Iguana S.L,Te doy mis ojos ,España,42557.0,7.4,7
Alta Producción,Te doy mis ojos ,España,42557.0,7.4,7
20th Century Fox,La edad de hielo (Ice Age) ,Estados Unidos,120192.0,7.3,7
Blue Sky Studios,La edad de hielo (Ice Age) ,Estados Unidos,120192.0,7.3,7
Columbia Pictures,La habitación del pánico ,Estados Unidos,38737.0,6.1,7
Hofflund/Polone Production,La habitación del pánico ,Estados Unidos,38737.0,6.1,7
Sogecine,El viaje de Carol ,España,7361.0,6.4,7
Aiete Films,El viaje de Carol ,España,7361.0,6.4,7
Ariane Films,El viaje de Carol ,España,7361.0,6.4,7
Take 2000,El viaje de Carol ,España,7361.0,6.4,7
Canal+ España,El viaje de Carol ,España,7361.0,6.4,7
20th Century Fox,Minority Report ,Estados Unidos,85756.0,6.9,7
DreamWorks SKG,Minority Report ,Estados Unidos,85756.0,6.9,7
Cruise-Wagner Productions,Minority Report ,Estados Unidos,85756.0,6.9,7
Blue Tulip Productions,Minority Report ,Estados Unidos,85756.0,6.9,7
Ronald Shusett/Gary Goldman,Minority Report ,Estados Unidos,85756.0,6.9,7
Amblin Entertainment,Minority Report ,Estados Unidos,85756.0,6.9,7
Digital Image Associates,Minority Report ,Estados Unidos,85756.0,6.9,7
Parkes+MacDonald Image Nation,Minority Report ,Estados Unidos,85756.0,6.9,7
Lakeshore Entertainment,Mothman: La última profecía ,Estados Unidos,11414.0,5.3,7
Screen Gems,Mothman: La última profecía ,Estados Unidos,11414.0,5.3,7
Wingnut Films,El señor de los anillos: Las dos torres ,Nueva Zelanda,170125.0,8.0,7
New Line Cinema,El señor de los anillos: Las dos torres ,Nueva Zelanda,170125.0,8.0,7
Zebra Producciones,En la ciudad sin límites ,España,10421.0,7.1,7
Icónica,En la ciudad sin límites ,España,10421.0,7.1,7
Patagonik,En la ciudad sin límites ,España,10421.0,7.1,7
DreamWorks Animation,Shrek en el baile con karaoke en la ciénaga (C),Estados Unidos,618.0,5.3,7
DreamWorks SKG,Shrek en el baile con karaoke en la ciénaga (C),Estados Unidos,618.0,5.3,7
Warner Bros.,A.I. Inteligencia Artificial ,Estados Unidos,66453.0,6.5,7
DreamWorks SKG,A.I. Inteligencia Artificial ,Estados Unidos,66453.0,6.5,7
Amblin Entertainment,A.I. Inteligencia Artificial ,Estados Unidos,66453.0,6.5,7
Stanley Kubrick Production,A.I. Inteligencia Artificial ,Estados Unidos,66453.0,6.5,7
Les Films Alain Sarde,Mulholland Drive ,Estados Unidos,74709.0,7.1,7
Asymetrical Production,Mulholland Drive ,Estados Unidos,74709.0,7.1,7
20th Century Fox,Moulin Rouge ,Australia,128748.0,6.8,7
Bazmark Films,Moulin Rouge ,Australia,128748.0,6.8,7
DreamWorks SKG,Una mente maravillosa ,Estados Unidos,120358.0,7.5,7
Universal Pictures,Una mente maravillosa ,Estados Unidos,120358.0,7.5,7
Imagine Entertainment,Una mente maravillosa ,Estados Unidos,120358.0,7.5,7
20th Century Fox,Desde el infierno ,Estados Unidos,26846.0,6.3,7
Underworld Pictures,Desde el infierno ,Estados Unidos,26846.0,6.3,7
Pol-Ka Producciones,El hijo de la novia ,Argentina,54934.0,7.7,7
Jempsa,El hijo de la novia ,Argentina,54934.0,7.7,7
Patagonik,El hijo de la novia ,Argentina,54934.0,7.7,7
Tornasol Films,El hijo de la novia ,Argentina,54934.0,7.7,7
Warner Bros.,Ocean's Eleven: Hagan juego ,Estados Unidos,91099.0,7.2,7
Village Roadshow,Ocean's Eleven: Hagan juego ,Estados Unidos,91099.0,7.2,7
NPV Entertainment,Ocean's Eleven: Hagan juego ,Estados Unidos,91099.0,7.2,7
Jerry Weintraub Productions,Ocean's Eleven: Hagan juego ,Estados Unidos,91099.0,7.2,7
Section Eight,Ocean's Eleven: Hagan juego ,Estados Unidos,91099.0,7.2,7
WV Films II,Ocean's Eleven: Hagan juego ,Estados Unidos,91099.0,7.2,7
St. Petersburg Clearwater Film Commission,Ocean's Eleven: Hagan juego ,Estados Unidos,91099.0,7.2,7
,2001: The Making of a Myth ,Reino Unido,175.0,6.5,7
Studio Ghibli,El viaje de Chihiro ,Japón,112553.0,8.1,7
Tokuma Shoten,El viaje de Chihiro ,Japón,112553.0,8.1,7
Dentsu Inc,El viaje de Chihiro ,Japón,112553.0,8.1,7
Toho,El viaje de Chihiro ,Japón,112553.0,8.1,7
France 2 Cinema,Nómadas del viento ,Francia,4648.0,7.5,7
Galatée Films,Nómadas del viento ,Francia,4648.0,7.5,7
Bac Films,Nómadas del viento ,Francia,4648.0,7.5,7
USA Films,Traffic ,Estados Unidos,62930.0,7.1,7
IEG Virtual Studios,Traffic ,Estados Unidos,62930.0,7.1,7
Splendid Medien AG,Traffic ,Estados Unidos,62930.0,7.1,7
The Bedford Falls Company,Traffic ,Estados Unidos,62930.0,7.1,7
Universal Pictures,Gladiator ,Estados Unidos,186431.0,7.9,7
DreamWorks SKG,Gladiator ,Estados Unidos,186431.0,7.9,7
Scott Free Productions,Gladiator ,Estados Unidos,186431.0,7.9,7
Mill Film,Gladiator ,Estados Unidos,186431.0,7.9,7
C&L,Gladiator ,Estados Unidos,186431.0,7.9,7
Red Wagon Productions,Gladiator ,Estados Unidos,186431.0,7.9,7
Dawliz,Gladiator ,Estados Unidos,186431.0,7.9,7
Hallmark Entertainment,El décimo reino (Miniserie de TV),Reino Unido,1235.0,7.1,7
Touchstone Pictures,El bar Coyote ,Estados Unidos,32809.0,4.9,7
Jerry Bruckheimer Films,El bar Coyote ,Estados Unidos,32809.0,4.9,7
Universal Pictures,Los padres de ella ,Estados Unidos,61943.0,6.6,7
DreamWorks SKG,Los padres de ella ,Estados Unidos,61943.0,6.6,7
Sony Pictures Classics,Tigre y dragón ,Taiwán,61968.0,7.0,7
Tesela P.C,El bola ,España,44227.0,7.0,7
New Line Cinema,Frequency ,Estados Unidos,28453.0,6.4,7
Ska Films,Snatch. Cerdos y diamantes ,Reino Unido,135513.0,7.9,7
Columbia Pictures,Snatch. Cerdos y diamantes ,Reino Unido,135513.0,7.9,7
Patagonik,Nueve reinas ,Argentina,73472.0,7.8,7
Industrias Audiovisuales Argentinas S.A,Nueve reinas ,Argentina,73472.0,7.8,7
Columbia Pictures,Descubriendo a Forrester ,Estados Unidos,18432.0,6.7,7
Fountainbridge Films,Descubriendo a Forrester ,Estados Unidos,18432.0,6.7,7
Finding Forrester Productions,Descubriendo a Forrester ,Estados Unidos,18432.0,6.7,7
Laurence Mark Productions,Descubriendo a Forrester ,Estados Unidos,18432.0,6.7,7
Sean Connery,Descubriendo a Forrester ,Estados Unidos,18432.0,6.7,7
Lolafilms,La comunidad ,España,50067.0,6.9,7
Summit Entertainment,Memento ,Estados Unidos,146979.0,7.8,7
Newmarket Capital Group,Memento ,Estados Unidos,146979.0,7.8,7
Team Todd,Memento ,Estados Unidos,146979.0,7.8,7
I Remember Productions,Memento ,Estados Unidos,146979.0,7.8,7
Newmarket,Memento ,Estados Unidos,146979.0,7.8,7
Walt Disney Pictures,Tarzán ,Estados Unidos,35270.0,6.8,7
Edgar Rice Burroughs Inc,Tarzán ,Estados Unidos,35270.0,6.8,7
Maestranza Films,Solas ,España,25777.0,7.6,7
20th Century Fox Television,Padre de familia (Serie de TV),Estados Unidos,105718.0,7.5,7
Fuzzy Door Productions,Padre de familia (Serie de TV),Estados Unidos,105718.0,7.5,7
Fox Television Animation,Padre de familia (Serie de TV),Estados Unidos,105718.0,7.5,7
FOX,Padre de familia (Serie de TV),Estados Unidos,105718.0,7.5,7
Lucasfilm,Star Wars. Episodio I: La amenaza fantasma ,Estados Unidos,103474.0,6.2,7
20th Century Fox,Star Wars. Episodio I: La amenaza fantasma ,Estados Unidos,103474.0,6.2,7
Propaganda Films,Cómo ser John Malkovich ,Estados Unidos,53300.0,7.3,7
Single Cell Pictures,Cómo ser John Malkovich ,Estados Unidos,53300.0,7.3,7
Gramercy Pictures,Cómo ser John Malkovich ,Estados Unidos,53300.0,7.3,7
Universal Pictures,Cómo ser John Malkovich ,Estados Unidos,53300.0,7.3,7
Walt Disney Feature Animation,Fantasía 2000 ,Estados Unidos,8428.0,6.8,7
Walt Disney Pictures,Fantasía 2000 ,Estados Unidos,8428.0,6.8,7
Touchstone Pictures,10 razones para odiarte ,Estados Unidos,21607.0,5.9,7
Sogetel,La lengua de las mariposas ,España,47193.0,7.5,7
Las Producciones del Escorpión,La lengua de las mariposas ,España,47193.0,7.5,7
Canal+ España,La lengua de las mariposas ,España,47193.0,7.5,7
RTVE,La lengua de las mariposas ,España,47193.0,7.5,7
Artisan Entertainment,La novena puerta ,Francia,29280.0,5.8,7
R.P. Productions,La novena puerta ,Francia,29280.0,5.8,7
Orly Films,La novena puerta ,Francia,29280.0,5.8,7
TF1 Films Production,La novena puerta ,Francia,29280.0,5.8,7
Bac Films,La novena puerta ,Francia,29280.0,5.8,7
Canal+,La novena puerta ,Francia,29280.0,5.8,7
Vía Digital,La novena puerta ,Francia,29280.0,5.8,7
Paramount Pictures,Un plan sencillo ,Estados Unidos,9537.0,7.0,7
Mutual Film Company,Un plan sencillo ,Estados Unidos,9537.0,7.0,7
Savoy Pictures,Un plan sencillo ,Estados Unidos,9537.0,7.0,7
Planttain Films,"Pi, fe en el caos ",Estados Unidos,30434.0,6.7,7
Harvest Filmworks,"Pi, fe en el caos ",Estados Unidos,30434.0,6.7,7
Truth and Soul Pictures,"Pi, fe en el caos ",Estados Unidos,30434.0,6.7,7
Protozoa Pictures,"Pi, fe en el caos ",Estados Unidos,30434.0,6.7,7
Pixar Animation Studios,"Bichos, una aventura en miniatura ",Estados Unidos,87682.0,6.7,7
Walt Disney Pictures,"Bichos, una aventura en miniatura ",Estados Unidos,87682.0,6.7,7
Bitter Films,Billy's Balloon (C),Estados Unidos,1700.0,6.1,7
Polygram Filmed Entertainment,Lock & Stock ,Reino Unido,61499.0,7.8,7
Walt Disney Pictures,Mulan ,Estados Unidos,85932.0,6.7,7
TriStar Pictures,Starship Troopers: Las brigadas del espacio ,Estados Unidos,32012.0,6.0,7
Touchstone Pictures,Starship Troopers: Las brigadas del espacio ,Estados Unidos,32012.0,6.0,7
Oriental Light and Magic (OLM),Pokémon (Serie de TV),Japón,29459.0,5.1,7
Nintendo,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Shogakukan-Shueisha Productions,Pokémon (Serie de TV),Japón,29459.0,5.1,7
SoftX,Pokémon (Serie de TV),Japón,29459.0,5.1,7
Lawrence Bender Productions,El indomable Will Hunting ,Estados Unidos,105140.0,7.5,7
Miramax,El indomable Will Hunting ,Estados Unidos,105140.0,7.5,7
Kevin Smith,El indomable Will Hunting ,Estados Unidos,105140.0,7.5,7
Miramax,El indomable Will Hunting ,Estados Unidos,105140.0,7.5,7
Polygram Filmed Entertainment,The Game ,Estados Unidos,80443.0,7.2,7
Propaganda Films,The Game ,Estados Unidos,80443.0,7.2,7
Disney Television Animation,La banda del patio (Serie de TV),Estados Unidos,15753.0,6.2,7
Studio Ghibli,La princesa Mononoke ,Japón,69528.0,8.0,7
Dentsu Inc,La princesa Mononoke ,Japón,69528.0,8.0,7
Nibariki,La princesa Mononoke ,Japón,69528.0,8.0,7
Nippon TV,La princesa Mononoke ,Japón,69528.0,8.0,7
TNDG,La princesa Mononoke ,Japón,69528.0,8.0,7
Tokuma Shoten,La princesa Mononoke ,Japón,69528.0,8.0,7
Jersey Films,Gattaca ,Estados Unidos,87366.0,7.3,7
Columbia Pictures,Gattaca ,Estados Unidos,87366.0,7.3,7
Aiete Films,Secretos del corazón ,España,9369.0,6.9,7
Ariane Films,Secretos del corazón ,España,9369.0,6.9,7
Canal+,Secretos del corazón ,España,9369.0,6.9,7
Eurimages,Secretos del corazón ,España,9369.0,6.9,7
Sogepaq,Secretos del corazón ,España,9369.0,6.9,7
DMVB Films,Secretos del corazón ,España,9369.0,6.9,7
Fábrica de Imagens,Secretos del corazón ,España,9369.0,6.9,7
ICAA,Secretos del corazón ,España,9369.0,6.9,7
Malpaso Productions,Poder absoluto ,Estados Unidos,18700.0,6.8,7
Castle Rock Entertainment,Poder absoluto ,Estados Unidos,18700.0,6.8,7
Walt Disney Pictures,James y el melocotón gigante ,Estados Unidos,9581.0,6.4,7
Tim Burton,James y el melocotón gigante ,Estados Unidos,9581.0,6.4,7
Polygram Filmed Entertainment,Fargo ,Estados Unidos,99825.0,7.8,7
Working Title Films,Fargo ,Estados Unidos,99825.0,7.8,7
Las Producciones del Escorpión,Tesis ,España,95573.0,7.7,7
Sogepaq,Tesis ,España,95573.0,7.7,7
Columbia Pictures,Volando libre ,Estados Unidos,3446.0,5.3,7
Castle Rock Entertainment,Antes de amanecer ,Estados Unidos,44060.0,7.4,7
Detour Filmproduction,Antes de amanecer ,Estados Unidos,44060.0,7.4,7
Filmhaus Wien Universa Filmproduktions,Antes de amanecer ,Estados Unidos,44060.0,7.4,7
Columbia Pictures,Antes de amanecer ,Estados Unidos,44060.0,7.4,7
Warner Bros.,Liberad a Willy 2 ,Estados Unidos,6692.0,3.9,7
Universal Pictures,Casino ,Estados Unidos,78066.0,8.1,7
Légende Entreprises,Casino ,Estados Unidos,78066.0,8.1,7
Syalis DA,Casino ,Estados Unidos,78066.0,8.1,7
De Fina-Cappa,Casino ,Estados Unidos,78066.0,8.1,7
Walt Disney Pictures,Pocahontas ,Estados Unidos,85979.0,6.0,7
Iberoamericana,El día de la bestia ,España,73617.0,7.1,7
Sogetel,El día de la bestia ,España,73617.0,7.1,7
Canal+ España,El día de la bestia ,España,73617.0,7.1,7
Touchstone Pictures,Ed Wood ,Estados Unidos,45154.0,7.5,7
Tim Burton,Ed Wood ,Estados Unidos,45154.0,7.5,7
Buena Vista Pictures,Ed Wood ,Estados Unidos,45154.0,7.5,7
Universal Pictures,En el nombre del padre ,Irlanda,79148.0,8.2,7
"""Hell's Kitchen Films""",En el nombre del padre ,Irlanda,79148.0,8.2,7
El Deseo,Kika ,España,11216.0,5.0,7
Ciby 2000,Kika ,España,11216.0,5.0,7
TriStar Pictures,Philadelphia ,Estados Unidos,85490.0,7.4,7
Clinica Estetico Productions,Philadelphia ,Estados Unidos,85490.0,7.4,7
Walt Disney Pictures,"De vuelta a casa, un viaje increíble ",Estados Unidos,1779.0,5.6,7
TriStar Pictures,Misterioso asesinato en Manhattan ,Estados Unidos,45365.0,7.8,7
Jack Rollins & Charles H. Joffe Production,Misterioso asesinato en Manhattan ,Estados Unidos,45365.0,7.8,7
TriStar Pictures,Misterioso asesinato en Manhattan ,Estados Unidos,45365.0,7.8,7
Warner Bros.,¡Liberad a Willy! ,Estados Unidos,17087.0,4.8,7
Regency Enterprises,¡Liberad a Willy! ,Estados Unidos,17087.0,4.8,7
Alcor Films,¡Liberad a Willy! ,Estados Unidos,17087.0,4.8,7
Universal Pictures,Atrapado por su pasado ,Estados Unidos,40198.0,7.9,7
Epic Productions,Atrapado por su pasado ,Estados Unidos,40198.0,7.9,7
Warner Bros.,Sin perdón ,Estados Unidos,94742.0,8.2,7
Malpaso Productions,Sin perdón ,Estados Unidos,94742.0,8.2,7
20th Century Fox,El último mohicano ,Estados Unidos,70861.0,7.3,7
Morgan Creek Productions,El último mohicano ,Estados Unidos,70861.0,7.3,7
Columbia Pictures,Algunos hombres buenos ,Estados Unidos,55415.0,6.8,7
Castle Rock Entertainment,Algunos hombres buenos ,Estados Unidos,55415.0,6.8,7
David Brown Productions,Algunos hombres buenos ,Estados Unidos,55415.0,6.8,7
Amblin Entertainment,El cabo del miedo ,Estados Unidos,57072.0,7.3,7
Cappa Films,El cabo del miedo ,Estados Unidos,57072.0,7.3,7
Tribeca Productions,El cabo del miedo ,Estados Unidos,57072.0,7.3,7
Universal Pictures,El cabo del miedo ,Estados Unidos,57072.0,7.3,7
Hollywood Pictures,Aracnofobia ,Estados Unidos,8521.0,5.0,7
Amblin Entertainment,Aracnofobia ,Estados Unidos,8521.0,5.0,7
Columbia Pictures,Despertares ,Estados Unidos,23646.0,7.4,7
Carolco Pictures,La escalera de Jacob ,Estados Unidos,10187.0,6.8,7
TriStar Pictures,La escalera de Jacob ,Estados Unidos,10187.0,6.8,7
20th Century Fox,Solo en casa ,Estados Unidos,119970.0,5.7,7
Hughes Entertainment,Solo en casa ,Estados Unidos,119970.0,5.7,7
El Deseo,¡Átame! ,España,19626.0,6.5,7
Touchstone Pictures,El club de los poetas muertos ,Estados Unidos,117558.0,7.6,7
Silver Screen Partners IV,El club de los poetas muertos ,Estados Unidos,117558.0,7.6,7
