productores,titulo,pais,votos,votacion,nota
Sony Pictures Television,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
Naughty Dog,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
The Mighty Mint,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
Word Games,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
Craig Mazin,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
Neil Druckmann,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
Asad Qizilbash,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
HBO,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
HBO Max,The Last of Us (Serie de TV),Estados Unidos,14818.0,7.8,9
Netflix,Stranger Things 4 (Serie de TV),Estados Unidos,13130.0,7.5,9
21 Laps Entertainment,Stranger Things 4 (Serie de TV),Estados Unidos,13130.0,7.5,9
Netflix,Stranger Things 4 (Serie de TV),Estados Unidos,13130.0,7.5,9
Pokeepsie Films,30 monedas (Serie de TV),España,13185.0,6.3,9
Greenlit Productions,30 monedas (Serie de TV),España,13185.0,6.3,9
HBO España,30 monedas (Serie de TV),España,13185.0,6.3,9
HBO,30 monedas (Serie de TV),España,13185.0,6.3,9
Pokeepsie Films,¿Qué co#o está pasando? ,España,973.0,6.8,9
The Other Side Films,¿Qué co#o está pasando? ,España,973.0,6.8,9
Netflix España,¿Qué co#o está pasando? ,España,973.0,6.8,9
Netflix,¿Qué co#o está pasando? ,España,973.0,6.8,9
Netflix,Stranger Things 2 (Serie de TV),Estados Unidos,32696.0,7.4,9
21 Laps Entertainment,Stranger Things 2 (Serie de TV),Estados Unidos,32696.0,7.4,9
Snowfort Pictures,El infinito ,Estados Unidos,5726.0,5.6,9
Pfaff & Pfaff Productions,El infinito ,Estados Unidos,5726.0,5.6,9
LDP,El infinito ,Estados Unidos,5726.0,5.6,9
Steve Cutts,Happiness (C),Reino Unido,1535.0,7.2,9
YouTube,Happiness (C),Reino Unido,1535.0,7.2,9
Blumhouse Productions,Déjame salir ,Estados Unidos,46362.0,6.8,9
QC Entertainment,Déjame salir ,Estados Unidos,46362.0,6.8,9
Pixar Animation Studios,Coco ,Estados Unidos,52789.0,8.0,9
Walt Disney Pictures,Coco ,Estados Unidos,52789.0,8.0,9
Netflix,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
21 Laps Entertainment,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
Netflix,Stranger Things (Serie de TV),Estados Unidos,62495.0,7.8,9
Bitter Films,World of Tomorrow (C),Estados Unidos,1441.0,7.2,9
DNA Films,Ex Machina ,Reino Unido,52678.0,7.1,9
Film4 Productions,Ex Machina ,Reino Unido,52678.0,7.1,9
