directores,titulo,pais,votos,votacion,nota
Rodrigo Cortés,Buried (Enterrado) ,España,58316.0,6.8,4
Quentin Dupieux,Rubber ,Francia,3671.0,5.9,4
Nancy Meyers,No es tan fácil ,Estados Unidos,11005.0,5.6,4
Kevin Greutert,Saw VI ,Estados Unidos,15048.0,5.5,4
Jaume Collet-Serra,La huérfana ,Estados Unidos,22123.0,6.1,4
Stuart Hazeldine,Examen ,Reino Unido,12981.0,5.9,4
Virginie Goyons,Meet Meline (C),Francia,43.0,5.3,4
Sebastien Laban,Meet Meline (C),Francia,43.0,5.3,4
Vincenzo Natali,Splice: Experimento mortal ,Canadá,10296.0,5.0,4
Lasse Hallström,Siempre a tu lado (Hachiko) ,Estados Unidos,25878.0,7.1,4
Michael Patrick King,Sexo en Nueva York: La película ,Estados Unidos,17139.0,5.3,4
David Hackl,Saw V ,Estados Unidos,24637.0,5.4,4
Phyllida Lloyd,Mamma Mia! La película ,Reino Unido,38628.0,5.8,4
Tom Vaughan,Algo pasa en Las Vegas ,Estados Unidos,19127.0,5.2,4
Rodrigo Gudiño,The Facts in the Case of Mister Hollow (C),Canadá,395.0,6.1,4
Vincent Marcone,The Facts in the Case of Mister Hollow (C),Canadá,395.0,6.1,4
Frank Darabont,La niebla ,Estados Unidos,34750.0,6.4,4
J.A. Bayona,El orfanato ,España,94898.0,6.7,4
Kevin Lima,Encantada: La historia de Giselle ,Estados Unidos,18355.0,5.6,4
Gary Trousdale,Shreketefeliz Navidad (La Navidad Con Shrek) (TV),Estados Unidos,4812.0,5.0,4
Sam Raimi,Spider-Man 3 ,Estados Unidos,73590.0,5.4,4
Gábor Csupó,Un puente hacia Terabithia ,Estados Unidos,15958.0,6.3,4
Tim Burton,Sweeney Todd: El barbero diabólico de la calle Fleet ,Estados Unidos,68120.0,6.8,4
Alexandre Bustillo,Al interior ,Francia,6899.0,6.0,4
Julien Maury,Al interior ,Francia,6899.0,6.0,4
Bruce A. Evans,Mr. Brooks ,Estados Unidos,13077.0,6.2,4
Sean Penn,Hacia rutas salvajes (Into the Wild) ,Estados Unidos,70243.0,7.6,4
Darren Lynn Bousman,Saw III ,Estados Unidos,30651.0,5.7,4
Neil LaBute,Wicker Man ,Canadá,9075.0,3.8,4
Jonathan Liebesman,La matanza de Texas: El origen ,Estados Unidos,8695.0,4.9,4
Andrés Borghi,El espectro del bosque (C),Argentina,164.0,3.8,4
Anne Fletcher,Step Up. Bailando ,Estados Unidos,7309.0,5.7,4
Bigas Luna,Yo soy la Juani ,España,14575.0,4.2,4
Christophe Gans,Silent Hill ,Canadá,24927.0,5.6,4
Robert Schwentke,Plan de vuelo: Desaparecida ,Estados Unidos,22377.0,5.7,4
Don Hertzfeldt,El sentido de la vida (C),Estados Unidos,778.0,6.1,4
Steven Spielberg,La guerra de los mundos ,Estados Unidos,81049.0,5.7,4
Scott Derrickson,El exorcismo de Emily Rose ,Estados Unidos,21540.0,5.9,4
Emilio Martínez-Lázaro,Los dos lados de la cama ,España,30439.0,5.5,4
David Slade,Hard Candy ,Estados Unidos,38887.0,6.8,4
Andy Tennant,"Hitch, especialista en ligues ",Estados Unidos,37943.0,5.7,4
Roberto Santiago,El penalti más largo del mundo ,España,16749.0,4.4,4
Terry Gilliam,Tideland ,Reino Unido,6930.0,6.0,4
Eli Roth,Hostel ,Estados Unidos,29747.0,5.4,4
Mike Nichols,Cegados por el deseo (Closer) ,Estados Unidos,47454.0,6.7,4
Mark Waters,Chicas malas ,Estados Unidos,21770.0,5.4,4
Martin Scorsese,El aviador ,Estados Unidos,56728.0,6.4,4
Paul Weitz,Algo más que un jefe ,Estados Unidos,8146.0,5.5,4
Koldo Serra,El tren de la bruja (C),España,1688.0,6.6,4
Lilly Wachowski,Matrix Revolutions ,Estados Unidos,115216.0,6.0,4
Lana Wachowski,Matrix Revolutions ,Estados Unidos,115216.0,6.0,4
Hermanas Wachowski,Matrix Revolutions ,Estados Unidos,115216.0,6.0,4
John Woo,Paycheck ,Estados Unidos,23064.0,5.7,4
Lilly Wachowski,Matrix Reloaded ,Estados Unidos,85778.0,6.4,4
Lana Wachowski,Matrix Reloaded ,Estados Unidos,85778.0,6.4,4
Hermanas Wachowski,Matrix Reloaded ,Estados Unidos,85778.0,6.4,4
David R. Ellis,Destino final 2 ,Estados Unidos,18899.0,5.0,4
Sofia Coppola,Lost in Translation ,Estados Unidos,100880.0,7.1,4
Donald Petrie,Cómo perder a un chico en 10 días ,Estados Unidos,21754.0,5.3,4
Lawrence Kasdan,El cazador de sueños ,Estados Unidos,17623.0,4.4,4
Richard Linklater,Escuela de rock ,Estados Unidos,30229.0,5.7,4
John Shepphird,La magia de Santa Claus ,Estados Unidos,42.0,3.7,4
Adam Shankman,Un paseo para recordar ,Estados Unidos,25413.0,6.5,4
Spike Jonze,Adaptation. El ladrón de orquídeas ,Estados Unidos,42097.0,7.1,4
M. Night Shyamalan,Señales ,Estados Unidos,56629.0,5.9,4
Chuck Russell,El rey escorpión ,Estados Unidos,18775.0,4.4,4
Simon Wells,La máquina del tiempo ,Estados Unidos,18938.0,5.1,4
Jeff Tremaine,"Jackass, la película ",Estados Unidos,14591.0,5.0,4
Sharon Maguire,El diario de Bridget Jones ,Reino Unido,95434.0,6.3,4
Santiago Segura,Torrente 2: Misión en Marbella ,España,49574.0,5.3,4
Joe Johnston,Jurassic Park III (Parque Jurásico III) ,Estados Unidos,33538.0,4.8,4
Keenen Ivory Wayans,Scary Movie ,Estados Unidos,110576.0,5.2,4
Danny Boyle,La playa ,Reino Unido,42553.0,5.6,4
James Wong,Destino final ,Estados Unidos,60097.0,5.6,4
Miguel Albaladejo,Manolito Gafotas ,España,14039.0,5.2,4
Stephen Sommers,La momia ,Estados Unidos,70365.0,6.2,4
"""Antoni D'Ocón""",TPH Club (Serie de TV),España,83.0,4.3,4
Anna Ribas,TPH Club (Serie de TV),España,83.0,4.3,4
Daniel Myrick,El proyecto de la bruja de Blair ,Estados Unidos,97610.0,5.1,4
Eduardo Sánchez,El proyecto de la bruja de Blair ,Estados Unidos,97610.0,5.1,4
Duwayne Dunham,Tritón por accidente (Cumpleaños mutante) (TV),Estados Unidos,120.0,3.9,4
Joe Dante,Pequeños guerreros ,Estados Unidos,19279.0,5.6,4
Kunihiko Yuyama,Pokémon: La película ,Japón,8901.0,4.9,4
Darrell Rooney,El rey león 2: El tesoro de Simba ,Estados Unidos,12891.0,5.7,4
Rob LaDuca,El rey león 2: El tesoro de Simba ,Estados Unidos,12891.0,5.7,4
Constance M. Burge,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
John T. Kretchmer,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Jon Paré,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
James L. Conway,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
Michael Grossman,Embrujadas (Serie de TV),Estados Unidos,21626.0,5.0,4
