generos,titulo,votos,votacion,nota
Comedia,Ed Wood ,45154.0,7.5,7
Drama,Ed Wood ,45154.0,7.5,7
Biográfico,Ed Wood ,45154.0,7.5,7
Comedia negra,Ed Wood ,45154.0,7.5,7
Años 50,Ed Wood ,45154.0,7.5,7
Cine dentro del cine,Ed Wood ,45154.0,7.5,7
Película de culto,Ed Wood ,45154.0,7.5,7
Drama,En el nombre del padre ,79148.0,8.2,7
Basado en hechos reales,En el nombre del padre ,79148.0,8.2,7
Terrorismo,En el nombre del padre ,79148.0,8.2,7
IRA,En el nombre del padre ,79148.0,8.2,7
Drama carcelario,En el nombre del padre ,79148.0,8.2,7
Drama judicial / Abogados/as,En el nombre del padre ,79148.0,8.2,7
Años 70,En el nombre del padre ,79148.0,8.2,7
Biográfico,En el nombre del padre ,79148.0,8.2,7
Comedia,Kika ,11216.0,5.0,7
Comedia negra,Kika ,11216.0,5.0,7
Drama,Philadelphia ,85490.0,7.4,7
Enfermedad,Philadelphia ,85490.0,7.4,7
SIDA,Philadelphia ,85490.0,7.4,7
Homosexualidad,Philadelphia ,85490.0,7.4,7
Aventuras,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Infantil,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Drama,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Comedia,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Cine familiar,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Animales,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Perros/Lobos,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Gatos,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Remake,"De vuelta a casa, un viaje increíble ",1779.0,5.6,7
Comedia,Misterioso asesinato en Manhattan ,45365.0,7.8,7
Intriga,Misterioso asesinato en Manhattan ,45365.0,7.8,7
Crimen,Misterioso asesinato en Manhattan ,45365.0,7.8,7
Aventuras,¡Liberad a Willy! ,17087.0,4.8,7
Drama,¡Liberad a Willy! ,17087.0,4.8,7
Cine familiar,¡Liberad a Willy! ,17087.0,4.8,7
Animales,¡Liberad a Willy! ,17087.0,4.8,7
Orcas / Ballenas,¡Liberad a Willy! ,17087.0,4.8,7
Thriller,Atrapado por su pasado ,40198.0,7.9,7
Mafia,Atrapado por su pasado ,40198.0,7.9,7
Crimen,Atrapado por su pasado ,40198.0,7.9,7
Drogas,Atrapado por su pasado ,40198.0,7.9,7
Años 70,Atrapado por su pasado ,40198.0,7.9,7
Western,Sin perdón ,94742.0,8.2,7
Drama,Sin perdón ,94742.0,8.2,7
Venganza,Sin perdón ,94742.0,8.2,7
Vejez / Madurez,Sin perdón ,94742.0,8.2,7
Aventuras,El último mohicano ,70861.0,7.3,7
Acción,El último mohicano ,70861.0,7.3,7
Romance,El último mohicano ,70861.0,7.3,7
América colonial,El último mohicano ,70861.0,7.3,7
Siglo XVIII,El último mohicano ,70861.0,7.3,7
Cine épico,El último mohicano ,70861.0,7.3,7
Naturaleza,El último mohicano ,70861.0,7.3,7
Intriga,Algunos hombres buenos ,55415.0,6.8,7
Drama,Algunos hombres buenos ,55415.0,6.8,7
Drama judicial / Abogados/as,Algunos hombres buenos ,55415.0,6.8,7
Ejército,Algunos hombres buenos ,55415.0,6.8,7
Thriller,El cabo del miedo ,57072.0,7.3,7
Drama,El cabo del miedo ,57072.0,7.3,7
Crimen,El cabo del miedo ,57072.0,7.3,7
Venganza,El cabo del miedo ,57072.0,7.3,7
Drama sureño,El cabo del miedo ,57072.0,7.3,7
Neo-noir,El cabo del miedo ,57072.0,7.3,7
Thriller psicológico,El cabo del miedo ,57072.0,7.3,7
Remake,El cabo del miedo ,57072.0,7.3,7
Terror,Aracnofobia ,8521.0,5.0,7
Animales,Aracnofobia ,8521.0,5.0,7
Insectos,Aracnofobia ,8521.0,5.0,7
Arañas,Aracnofobia ,8521.0,5.0,7
Comedia de terror,Aracnofobia ,8521.0,5.0,7
Vida rural (Norteamérica),Aracnofobia ,8521.0,5.0,7
Drama,Despertares ,23646.0,7.4,7
Melodrama,Despertares ,23646.0,7.4,7
Medicina,Despertares ,23646.0,7.4,7
Enfermedad,Despertares ,23646.0,7.4,7
Discapacidad,Despertares ,23646.0,7.4,7
Años 60,Despertares ,23646.0,7.4,7
Basado en hechos reales,Despertares ,23646.0,7.4,7
Drama,La escalera de Jacob ,10187.0,6.8,7
Terror,La escalera de Jacob ,10187.0,6.8,7
Intriga,La escalera de Jacob ,10187.0,6.8,7
Surrealismo,La escalera de Jacob ,10187.0,6.8,7
Guerra de Vietnam,La escalera de Jacob ,10187.0,6.8,7
Drama psicológico,La escalera de Jacob ,10187.0,6.8,7
Thriller psicológico,La escalera de Jacob ,10187.0,6.8,7
Cine independiente USA,La escalera de Jacob ,10187.0,6.8,7
Comedia,Solo en casa ,119970.0,5.7,7
Infantil,Solo en casa ,119970.0,5.7,7
Navidad,Solo en casa ,119970.0,5.7,7
Cine familiar,Solo en casa ,119970.0,5.7,7
Película de culto,Solo en casa ,119970.0,5.7,7
Drama,¡Átame! ,19626.0,6.5,7
Comedia,¡Átame! ,19626.0,6.5,7
Romance,¡Átame! ,19626.0,6.5,7
Comedia negra,¡Átame! ,19626.0,6.5,7
Secuestros / Desapariciones,¡Átame! ,19626.0,6.5,7
Remake,¡Átame! ,19626.0,6.5,7
Drama,El club de los poetas muertos ,117558.0,7.6,7
Enseñanza,El club de los poetas muertos ,117558.0,7.6,7
Colegios & Universidad,El club de los poetas muertos ,117558.0,7.6,7
Literatura,El club de los poetas muertos ,117558.0,7.6,7
Años 50,El club de los poetas muertos ,117558.0,7.6,7
Película de culto,El club de los poetas muertos ,117558.0,7.6,7
Serie de TV,Los vigilantes de la playa (Serie de TV),62877.0,4.1,7
Acción,Los vigilantes de la playa (Serie de TV),62877.0,4.1,7
Drama,Los vigilantes de la playa (Serie de TV),62877.0,4.1,7
Aventuras,El oso ,14311.0,7.1,7
Animales,El oso ,14311.0,7.1,7
Osos,El oso ,14311.0,7.1,7
Caza,El oso ,14311.0,7.1,7
Naturaleza,El oso ,14311.0,7.1,7
Película de culto,El oso ,14311.0,7.1,7
Animación,Mi vecino Totoro ,48189.0,7.7,7
Fantástico,Mi vecino Totoro ,48189.0,7.7,7
Infantil,Mi vecino Totoro ,48189.0,7.7,7
Infancia,Mi vecino Totoro ,48189.0,7.7,7
Años 50,Mi vecino Totoro ,48189.0,7.7,7
Película de culto,Mi vecino Totoro ,48189.0,7.7,7
Cine familiar,Mi vecino Totoro ,48189.0,7.7,7
Vida rural,Mi vecino Totoro ,48189.0,7.7,7
Realismo mágico,Mi vecino Totoro ,48189.0,7.7,7
Cine negro,Los intocables de Eliot Ness ,90673.0,7.8,7
Acción,Los intocables de Eliot Ness ,90673.0,7.8,7
Thriller,Los intocables de Eliot Ness ,90673.0,7.8,7
Drama,Los intocables de Eliot Ness ,90673.0,7.8,7
Neo-noir,Los intocables de Eliot Ness ,90673.0,7.8,7
Policíaco,Los intocables de Eliot Ness ,90673.0,7.8,7
Mafia,Los intocables de Eliot Ness ,90673.0,7.8,7
Crimen,Los intocables de Eliot Ness ,90673.0,7.8,7
Años 20,Los intocables de Eliot Ness ,90673.0,7.8,7
Años 30,Los intocables de Eliot Ness ,90673.0,7.8,7
Ciencia ficción,Robocop ,81007.0,6.0,7
Acción,Robocop ,81007.0,6.0,7
Película de culto,Robocop ,81007.0,6.0,7
Robots,Robocop ,81007.0,6.0,7
Distopía,Robocop ,81007.0,6.0,7
Cyberpunk,Robocop ,81007.0,6.0,7
Policíaco,Robocop ,81007.0,6.0,7
Venganza,Robocop ,81007.0,6.0,7
Aventuras,La princesa prometida ,64249.0,7.4,7
Romance,La princesa prometida ,64249.0,7.4,7
Comedia,La princesa prometida ,64249.0,7.4,7
Fantástico,La princesa prometida ,64249.0,7.4,7
Comedia romántica,La princesa prometida ,64249.0,7.4,7
Fantasía medieval,La princesa prometida ,64249.0,7.4,7
Capa y espada,La princesa prometida ,64249.0,7.4,7
Magia,La princesa prometida ,64249.0,7.4,7
Brujería,La princesa prometida ,64249.0,7.4,7
Película de culto,La princesa prometida ,64249.0,7.4,7
Drama,La ley del deseo ,11150.0,6.6,7
Thriller,La ley del deseo ,11150.0,6.6,7
Romance,La ley del deseo ,11150.0,6.6,7
Homosexualidad,La ley del deseo ,11150.0,6.6,7
Familia,La ley del deseo ,11150.0,6.6,7
Celos,La ley del deseo ,11150.0,6.6,7
Transexualidad / transgénero,La ley del deseo ,11150.0,6.6,7
Melodrama,La ley del deseo ,11150.0,6.6,7
Terror,Hellraiser ,12493.0,6.1,7
Fantástico,Hellraiser ,12493.0,6.1,7
Gore,Hellraiser ,12493.0,6.1,7
Película de culto,Hellraiser ,12493.0,6.1,7
Aventuras,Cuenta conmigo ,32341.0,7.3,7
Drama,Cuenta conmigo ,32341.0,7.3,7
Años 50,Cuenta conmigo ,32341.0,7.3,7
Amistad,Cuenta conmigo ,32341.0,7.3,7
Adolescencia,Cuenta conmigo ,32341.0,7.3,7
Vida rural (Norteamérica),Cuenta conmigo ,32341.0,7.3,7
Comedia dramática,Cuenta conmigo ,32341.0,7.3,7
Ciencia ficción,Critters ,11897.0,5.4,7
Fantástico,Critters ,11897.0,5.4,7
Terror,Critters ,11897.0,5.4,7
Comedia,Critters ,11897.0,5.4,7
Comedia de terror,Critters ,11897.0,5.4,7
Película de culto,Critters ,11897.0,5.4,7
Monstruos,Critters ,11897.0,5.4,7
Extraterrestres,Critters ,11897.0,5.4,7
Thriller,Carretera al infierno ,5180.0,6.4,7
Terror,Carretera al infierno ,5180.0,6.4,7
Acción,Carretera al infierno ,5180.0,6.4,7
Road Movie,Carretera al infierno ,5180.0,6.4,7
Asesinos en serie,Carretera al infierno ,5180.0,6.4,7
Slasher,Carretera al infierno ,5180.0,6.4,7
Intriga,Terciopelo azul ,54970.0,7.4,7
Cine negro,Terciopelo azul ,54970.0,7.4,7
Drama,Terciopelo azul ,54970.0,7.4,7
Neo-noir,Terciopelo azul ,54970.0,7.4,7
Thriller psicológico,Terciopelo azul ,54970.0,7.4,7
Película de culto,Terciopelo azul ,54970.0,7.4,7
Cine independiente USA,Terciopelo azul ,54970.0,7.4,7
Aventuras,La misión ,55869.0,7.6,7
Drama,La misión ,55869.0,7.6,7
Histórico,La misión ,55869.0,7.6,7
Siglo XVIII,La misión ,55869.0,7.6,7
América colonial,La misión ,55869.0,7.6,7
Religión,La misión ,55869.0,7.6,7
Terror,Pesadilla en Elm Street ,55576.0,6.6,7
Slasher,Pesadilla en Elm Street ,55576.0,6.6,7
Surrealismo,Pesadilla en Elm Street ,55576.0,6.6,7
Película de culto,Pesadilla en Elm Street ,55576.0,6.6,7
Comedia,Los cazafantasmas ,117090.0,6.5,7
Fantástico,Los cazafantasmas ,117090.0,6.5,7
Comedia de terror,Los cazafantasmas ,117090.0,6.5,7
Sobrenatural,Los cazafantasmas ,117090.0,6.5,7
Fantasmas,Los cazafantasmas ,117090.0,6.5,7
Casas encantadas,Los cazafantasmas ,117090.0,6.5,7
Cine familiar,Los cazafantasmas ,117090.0,6.5,7
Película de culto,Los cazafantasmas ,117090.0,6.5,7
Ciencia ficción,Terminator ,141917.0,7.1,7
Acción,Terminator ,141917.0,7.1,7
Robots,Terminator ,141917.0,7.1,7
Viajes en el tiempo,Terminator ,141917.0,7.1,7
Película de culto,Terminator ,141917.0,7.1,7
Fantástico,La historia interminable ,98014.0,6.9,7
Infantil,La historia interminable ,98014.0,6.9,7
Aventuras,La historia interminable ,98014.0,6.9,7
Dragones,La historia interminable ,98014.0,6.9,7
Cine familiar,La historia interminable ,98014.0,6.9,7
Película de culto,La historia interminable ,98014.0,6.9,7
Ciencia ficción,1984 ,11254.0,6.4,7
Fantástico,1984 ,11254.0,6.4,7
Política,1984 ,11254.0,6.4,7
Distopía,1984 ,11254.0,6.4,7
Drama,El precio del poder ,91924.0,8.2,7
Mafia,El precio del poder ,91924.0,8.2,7
Drogas,El precio del poder ,91924.0,8.2,7
Remake,El precio del poder ,91924.0,8.2,7
Crimen,El precio del poder ,91924.0,8.2,7
Película de culto,El precio del poder ,91924.0,8.2,7
Ciencia ficción,La guerra de las galaxias. Episodio VI: El retorno del Jedi ,122459.0,7.9,7
Aventuras,La guerra de las galaxias. Episodio VI: El retorno del Jedi ,122459.0,7.9,7
Aventura espacial,La guerra de las galaxias. Episodio VI: El retorno del Jedi ,122459.0,7.9,7
Secuela,La guerra de las galaxias. Episodio VI: El retorno del Jedi ,122459.0,7.9,7
Película de culto,La guerra de las galaxias. Episodio VI: El retorno del Jedi ,122459.0,7.9,7
Star Wars,La guerra de las galaxias. Episodio VI: El retorno del Jedi ,122459.0,7.9,7
Drama,El pico ,9847.0,6.7,7
Drogas,El pico ,9847.0,6.7,7
Adolescencia,El pico ,9847.0,6.7,7
Cine quinqui,El pico ,9847.0,6.7,7
Basado en hechos reales,El pico ,9847.0,6.7,7
Homosexualidad,El pico ,9847.0,6.7,7
Serie de TV,La vuelta al mundo de Willy Fog (Serie de TV),35443.0,6.7,7
Animación,La vuelta al mundo de Willy Fog (Serie de TV),35443.0,6.7,7
Comedia,La vuelta al mundo de Willy Fog (Serie de TV),35443.0,6.7,7
Aventuras,La vuelta al mundo de Willy Fog (Serie de TV),35443.0,6.7,7
Infantil,La vuelta al mundo de Willy Fog (Serie de TV),35443.0,6.7,7
Musical,Michael Jackson's Thriller (Vídeo musical),6078.0,8.0,7
Terror,Michael Jackson's Thriller (Vídeo musical),6078.0,8.0,7
Zombis,Michael Jackson's Thriller (Vídeo musical),6078.0,8.0,7
Hombres lobo,Michael Jackson's Thriller (Vídeo musical),6078.0,8.0,7
Videoclip,Michael Jackson's Thriller (Vídeo musical),6078.0,8.0,7
Cortometraje,Michael Jackson's Thriller (Vídeo musical),6078.0,8.0,7
Intriga,La zona muerta ,11177.0,6.6,7
Ciencia ficción,La zona muerta ,11177.0,6.6,7
Asesinos en serie,La zona muerta ,11177.0,6.6,7
Política,La zona muerta ,11177.0,6.6,7
Sobrenatural,La zona muerta ,11177.0,6.6,7
Terror,Poltergeist (Fenómenos extraños) ,32341.0,6.8,7
Fantástico,Poltergeist (Fenómenos extraños) ,32341.0,6.8,7
Casas encantadas,Poltergeist (Fenómenos extraños) ,32341.0,6.8,7
Sobrenatural,Poltergeist (Fenómenos extraños) ,32341.0,6.8,7
Fantasmas,Poltergeist (Fenómenos extraños) ,32341.0,6.8,7
Familia,Poltergeist (Fenómenos extraños) ,32341.0,6.8,7
Animación,Tod y Toby ,11796.0,6.3,7
Drama,Tod y Toby ,11796.0,6.3,7
Aventuras,Tod y Toby ,11796.0,6.3,7
Musical,Tod y Toby ,11796.0,6.3,7
Infantil,Tod y Toby ,11796.0,6.3,7
Amistad,Tod y Toby ,11796.0,6.3,7
Animales,Tod y Toby ,11796.0,6.3,7
Naturaleza,Tod y Toby ,11796.0,6.3,7
Terror,La casa de los horrores ,1602.0,5.5,7
Monstruos,La casa de los horrores ,1602.0,5.5,7
Slasher,La casa de los horrores ,1602.0,5.5,7
Terror,Un hombre lobo americano en Londres ,27468.0,6.7,7
Comedia,Un hombre lobo americano en Londres ,27468.0,6.7,7
Hombres lobo,Un hombre lobo americano en Londres ,27468.0,6.7,7
Comedia de terror,Un hombre lobo americano en Londres ,27468.0,6.7,7
Película de culto,Un hombre lobo americano en Londres ,27468.0,6.7,7
Ciencia ficción,La guerra de las galaxias. Episodio V: El imperio contraataca ,136200.0,8.1,7
Aventuras,La guerra de las galaxias. Episodio V: El imperio contraataca ,136200.0,8.1,7
Aventura espacial,La guerra de las galaxias. Episodio V: El imperio contraataca ,136200.0,8.1,7
Secuela,La guerra de las galaxias. Episodio V: El imperio contraataca ,136200.0,8.1,7
Película de culto,La guerra de las galaxias. Episodio V: El imperio contraataca ,136200.0,8.1,7
Star Wars,La guerra de las galaxias. Episodio V: El imperio contraataca ,136200.0,8.1,7
Drama,Toro salvaje ,53737.0,8.1,7
Biográfico,Toro salvaje ,53737.0,8.1,7
Deporte,Toro salvaje ,53737.0,8.1,7
Boxeo,Toro salvaje ,53737.0,8.1,7
Drama,Navajeros ,4755.0,6.4,7
Crimen,Navajeros ,4755.0,6.4,7
Cine quinqui,Navajeros ,4755.0,6.4,7
Bandas/pandillas callejeras,Navajeros ,4755.0,6.4,7
Basado en hechos reales,Navajeros ,4755.0,6.4,7
Comedia,Manhattan ,54294.0,8.1,7
Drama,Manhattan ,54294.0,8.1,7
Romance,Manhattan ,54294.0,8.1,7
Comedia romántica,Manhattan ,54294.0,8.1,7
