productores,titulo,votos,votacion,nota
Mel Brooks,El hombre elefante ,42610.0,8.1,10
Metro-Goldwyn-Mayer (MGM),2001: Una odisea del espacio ,114863.0,7.8,10
Stanley Kubrick Production,2001: Una odisea del espacio ,114863.0,7.8,10
Pakula-Mulligan Production,Matar a un ruiseñor ,48608.0,8.3,10
Brentwood Production,Matar a un ruiseñor ,48608.0,8.3,10
Universal Pictures,Matar a un ruiseñor ,48608.0,8.3,10
Paramount Pictures,Psicosis ,108789.0,8.4,10
Bryna Productions,Senderos de gloria ,55924.0,8.4,10
Metro-Goldwyn-Mayer (MGM),Senderos de gloria ,55924.0,8.4,10
Metro-Goldwyn-Mayer (MGM),Doce hombres sin piedad ,70179.0,8.7,10
Orion-Nova Productions,Doce hombres sin piedad ,70179.0,8.7,10
United Artists,La noche del cazador ,31360.0,8.1,10
Metro-Goldwyn-Mayer (MGM),La parada de los monstruos ,23211.0,8.2,10
United Artists,Luces de la ciudad ,32742.0,8.6,10
PlayStation Productions,The Last of Us (Serie de TV),14818.0,7.8,9
Sony Pictures Television,The Last of Us (Serie de TV),14818.0,7.8,9
Naughty Dog,The Last of Us (Serie de TV),14818.0,7.8,9
The Mighty Mint,The Last of Us (Serie de TV),14818.0,7.8,9
Word Games,The Last of Us (Serie de TV),14818.0,7.8,9
Craig Mazin,The Last of Us (Serie de TV),14818.0,7.8,9
Neil Druckmann,The Last of Us (Serie de TV),14818.0,7.8,9
Asad Qizilbash,The Last of Us (Serie de TV),14818.0,7.8,9
HBO,The Last of Us (Serie de TV),14818.0,7.8,9
HBO Max,The Last of Us (Serie de TV),14818.0,7.8,9
Netflix,Stranger Things 4 (Serie de TV),13130.0,7.5,9
21 Laps Entertainment,Stranger Things 4 (Serie de TV),13130.0,7.5,9
Netflix,Stranger Things 4 (Serie de TV),13130.0,7.5,9
Pokeepsie Films,30 monedas (Serie de TV),13185.0,6.3,9
Greenlit Productions,30 monedas (Serie de TV),13185.0,6.3,9
HBO España,30 monedas (Serie de TV),13185.0,6.3,9
HBO,30 monedas (Serie de TV),13185.0,6.3,9
Pokeepsie Films,¿Qué co#o está pasando? ,973.0,6.8,9
The Other Side Films,¿Qué co#o está pasando? ,973.0,6.8,9
Netflix España,¿Qué co#o está pasando? ,973.0,6.8,9
Netflix,¿Qué co#o está pasando? ,973.0,6.8,9
Netflix,Stranger Things 2 (Serie de TV),32696.0,7.4,9
21 Laps Entertainment,Stranger Things 2 (Serie de TV),32696.0,7.4,9
Snowfort Pictures,El infinito ,5726.0,5.6,9
Pfaff & Pfaff Productions,El infinito ,5726.0,5.6,9
LDP,El infinito ,5726.0,5.6,9
Steve Cutts,Happiness (C),1535.0,7.2,9
