productores,titulo,votos,votacion,nota
Discovery Communications,Manhunt: Unabomber (Miniserie de TV),12013.0,7.4,7
Trigger Street Productions,Manhunt: Unabomber (Miniserie de TV),12013.0,7.4,7
Discovery Channel,Manhunt: Unabomber (Miniserie de TV),12013.0,7.4,7
Apaches Entertainment,Verónica ,21992.0,6.3,7
RTVE,Verónica ,21992.0,6.3,7
Ezekiel Films,El insulto ,4962.0,7.1,7
Scope Pictures,El insulto ,4962.0,7.1,7
Tessalit Productions,El insulto ,4962.0,7.1,7
Rouge International,El insulto ,4962.0,7.1,7
Cohen Media Group,El insulto ,4962.0,7.1,7
Ciné+,El insulto ,4962.0,7.1,7
Douri Films,El insulto ,4962.0,7.1,7
CNC,El insulto ,4962.0,7.1,7
"""L'Aide aux Cinémas du Monde""",El insulto ,4962.0,7.1,7
Canal+,El insulto ,4962.0,7.1,7
Frenesy Film Company,Call Me by Your Name ,28051.0,7.3,7
RT Features,Call Me by Your Name ,28051.0,7.3,7
La Cinéfacture,Call Me by Your Name ,28051.0,7.3,7
"""Water's End Productions""",Call Me by Your Name ,28051.0,7.3,7
M.Y.R.A. Entertainment,Call Me by Your Name ,28051.0,7.3,7
Lombardia Film Commission,Call Me by Your Name ,28051.0,7.3,7
Sony Pictures Classics,Call Me by Your Name ,28051.0,7.3,7
Telecinco Cinema,Perfectos desconocidos ,38991.0,6.4,7
Nadie es perfecto,Perfectos desconocidos ,38991.0,6.4,7
Pokeepsie Films,Perfectos desconocidos ,38991.0,6.4,7
Mediaset España,Perfectos desconocidos ,38991.0,6.4,7
Movistar Plus+,Perfectos desconocidos ,38991.0,6.4,7
Bad Robot,Calle Cloverfield 10 ,30337.0,6.4,7
Paramount Pictures,Calle Cloverfield 10 ,30337.0,6.4,7
La Aventura,Herederos de la bestia ,382.0,6.2,7
Laika Entertainment,Kubo y las dos cuerdas mágicas ,16467.0,7.2,7
Travis Knight,Kubo y las dos cuerdas mágicas ,16467.0,7.2,7
Lava Bear Films,La llegada ,65523.0,7.3,7
21 Laps Entertainment,La llegada ,65523.0,7.3,7
Filmnation Entertainment,La llegada ,65523.0,7.3,7
Reliance Entertainment,La llegada ,65523.0,7.3,7
Xenolinguistics,La llegada ,65523.0,7.3,7
Paramount Pictures,La llegada ,65523.0,7.3,7
Netflix,Black Mirror: San Junipero (TV),27006.0,7.7,7
House of Tomorrow,Black Mirror: San Junipero (TV),27006.0,7.7,7
Netflix,Black Mirror: San Junipero (TV),27006.0,7.7,7
Chernin Entertainment,El hogar de Miss Peregrine para niños peculiares ,20207.0,6.0,7
Tim Burton Productions,El hogar de Miss Peregrine para niños peculiares ,20207.0,6.0,7
Electric City Entertainment,Captain Fantastic ,44287.0,7.5,7
ShivHans Pictures,Captain Fantastic ,44287.0,7.5,7
Bleecker Street,Captain Fantastic ,44287.0,7.5,7
Haddock Films,Al final del túnel ,7346.0,6.4,7
RTVE,Al final del túnel ,7346.0,6.4,7
Telefé,Al final del túnel ,7346.0,6.4,7
Tornasol Films,Al final del túnel ,7346.0,6.4,7
Árbol Contenidos,Al final del túnel ,7346.0,6.4,7
Hernández y Fernández P.C,Al final del túnel ,7346.0,6.4,7
Mistery Producciones AIE,Al final del túnel ,7346.0,6.4,7
Tree Falls Post,"Lo and Behold, Reveries of the Connected World ",1139.0,6.6,7
Saville Productions,"Lo and Behold, Reveries of the Connected World ",1139.0,6.6,7
Focus Features,Animales nocturnos ,37779.0,7.1,7
Fade to Black Production,Animales nocturnos ,37779.0,7.1,7
Rita Productions,La vida de Calabacín ,6120.0,7.3,7
Blue Spirit,La vida de Calabacín ,6120.0,7.3,7
Gébéka Films,La vida de Calabacín ,6120.0,7.3,7
Why Not Productions,La tortuga roja ,8527.0,7.1,7
Wild Bunch,La tortuga roja ,8527.0,7.1,7
Studio Ghibli,La tortuga roja ,8527.0,7.1,7
CBS Films,Comanchería ,30362.0,7.2,7
Sidney Kimmel,Comanchería ,30362.0,7.2,7
Odd Lot Entertainment,Comanchería ,30362.0,7.2,7
Film 44,Comanchería ,30362.0,7.2,7
LBI Entertainment,Comanchería ,30362.0,7.2,7
Netflix,Black Mirror: Odio nacional (TV),17981.0,7.2,7
House of Tomorrow,Black Mirror: Odio nacional (TV),17981.0,7.2,7
Netflix,Black Mirror: Odio nacional (TV),17981.0,7.2,7
Regency Enterprises,El renacido ,71058.0,7.2,7
Anonymous Content,El renacido ,71058.0,7.2,7
Rat Pack Filmproduktion,El renacido ,71058.0,7.2,7
20th Century Fox,El renacido ,71058.0,7.2,7
Imposible Films,Truman ,28752.0,7.0,7
Trumanfilm,Truman ,28752.0,7.0,7
BD Cine,Truman ,28752.0,7.0,7
Canal+ España,Truman ,28752.0,7.0,7
Televisión de Galicia (TVG),Truman ,28752.0,7.0,7
Televisión de Galicia (TVG),Truman ,28752.0,7.0,7
Telefé,Truman ,28752.0,7.0,7
DreamWorks SKG,El puente de los espías ,39170.0,6.8,7
Fox 2000 Pictures,El puente de los espías ,39170.0,6.8,7
Laser Unicorns,Kung Fury ,14086.0,7.0,7
Lampray,Kung Fury ,14086.0,7.0,7
Open Road Films,Spotlight ,47680.0,7.3,7
Participant Media,Spotlight ,47680.0,7.3,7
First Look,Spotlight ,47680.0,7.3,7
Anonymous Content,Spotlight ,47680.0,7.3,7
Rocklin,Spotlight ,47680.0,7.3,7
MOD,Regresión ,25256.0,5.3,7
Himenóptero,Regresión ,25256.0,5.3,7
First Generation Films,Regresión ,25256.0,5.3,7
Telecinco Cinema,Regresión ,25256.0,5.3,7
Blue-Tongue Films,El regalo ,18873.0,6.4,7
Blumhouse Productions,El regalo ,18873.0,6.4,7
Cross Creek Pictures,Everest ,26004.0,6.3,7
Universal Pictures,Everest ,26004.0,6.3,7
Walden Media,Everest ,26004.0,6.3,7
Atresmedia Cine,El desconocido ,23982.0,6.2,7
La Ferme! Productions,El desconocido ,23982.0,6.2,7
Televisión de Galicia (TVG),El desconocido ,23982.0,6.2,7
Vaca Films,El desconocido ,23982.0,6.2,7
Film4 Productions,Carol ,21752.0,7.0,7
Killer Films,Carol ,21752.0,7.0,7
Number 9 Films,Carol ,21752.0,7.0,7
Film4 Productions,La habitación ,45804.0,7.7,7
Irish Film Board,La habitación ,45804.0,7.7,7
Téléfilm Canada,La habitación ,45804.0,7.7,7
Filmnation Entertainment,La habitación ,45804.0,7.7,7
Element Pictures,La habitación ,45804.0,7.7,7
No Trace Camping,La habitación ,45804.0,7.7,7
20th Century Fox,Marte (The Martian) ,65308.0,7.0,7
Scott Free Productions,Marte (The Martian) ,65308.0,7.0,7
TSG Entertainment,Marte (The Martian) ,65308.0,7.0,7
Focus Features,La chica danesa ,28208.0,6.8,7
Working Title Films,La chica danesa ,28208.0,6.8,7
Detour Filmproduction,Boyhood (Momentos de una vida) ,48883.0,7.2,7
IFC Productions,Boyhood (Momentos de una vida) ,48883.0,7.2,7
IFC Films,Boyhood (Momentos de una vida) ,48883.0,7.2,7
Sony Pictures Classics,Whiplash ,65293.0,7.8,7
Blumhouse Productions,Whiplash ,65293.0,7.8,7
Bold Films,Whiplash ,65293.0,7.8,7
Right of Way Films,Whiplash ,65293.0,7.8,7
Abra Producciones,Lasa y Zabala ,2068.0,5.6,7
ETB,Lasa y Zabala ,2068.0,5.6,7
ICAA,Lasa y Zabala ,2068.0,5.6,7
Departamento de Cultura del Gobierno Vasco,Lasa y Zabala ,2068.0,5.6,7
Parsimonia,Lasa y Zabala ,2068.0,5.6,7
Televisión de Galicia (TVG),Lasa y Zabala ,2068.0,5.6,7
Summit Entertainment,Divergente ,31733.0,5.5,7
Red Wagon Productions,Divergente ,31733.0,5.5,7
Schramm Film Koerner & Weber,Phoenix ,3465.0,6.4,7
Bayerischer Rundfunk (BR),Phoenix ,3465.0,6.4,7
Tempus,Phoenix ,3465.0,6.4,7
Arte,Phoenix ,3465.0,6.4,7
Westdeutscher Rundfunk (WDR),Phoenix ,3465.0,6.4,7
As Is Productions,The Giver: el dador de recuerdos ,3131.0,5.6,7
Tonik Productions,The Giver: el dador de recuerdos ,3131.0,5.6,7
Walden Media,The Giver: el dador de recuerdos ,3131.0,5.6,7
Canada Film Capital,The Giver: el dador de recuerdos ,3131.0,5.6,7
The Weinstein Company,The Giver: el dador de recuerdos ,3131.0,5.6,7
Department of Trade and Industry of South Africa,The Giver: el dador de recuerdos ,3131.0,5.6,7
Warner Bros.,Al filo del mañana ,42615.0,6.8,7
3 Arts Entertainment,Al filo del mañana ,42615.0,6.8,7
Viz Media,Al filo del mañana ,42615.0,6.8,7
Village Roadshow,Al filo del mañana ,42615.0,6.8,7
RatPac-Dune Entertainment,Al filo del mañana ,42615.0,6.8,7
Province of British Columbia Film Incentive BC,Al filo del mañana ,42615.0,6.8,7
Dune Entertainment,Al filo del mañana ,42615.0,6.8,7
Prime Focus,Al filo del mañana ,42615.0,6.8,7
20th Century Fox,Perdida ,66495.0,7.3,7
Regency Enterprises,Perdida ,66495.0,7.3,7
Pacific Standard,Perdida ,66495.0,7.3,7
Claussen Wöbke Putz Filmproduktion,La conspiración del silencio ,3761.0,6.5,7
Naked Eye Filmproduktion,La conspiración del silencio ,3761.0,6.5,7
Atresmedia Cine,La isla mínima ,71426.0,7.2,7
Atípica Films,La isla mínima ,71426.0,7.2,7
Sacromonte Films,La isla mínima ,71426.0,7.2,7
Black Bear Pictures,The Imitation Game (Descifrando Enigma) ,58350.0,7.2,7
Ampersand Pictures,The Imitation Game (Descifrando Enigma) ,58350.0,7.2,7
The Weinstein Company,The Imitation Game (Descifrando Enigma) ,58350.0,7.2,7
Verisimilitude,Orígenes ,24048.0,6.7,7
WeWork Studio,Orígenes ,24048.0,6.7,7
Bersin Pictures,Orígenes ,24048.0,6.7,7
Aquí y Allí Films,Magical Girl ,25785.0,7.1,7
RTVE,Magical Girl ,25785.0,7.1,7
Canal+ España,Magical Girl ,25785.0,7.1,7
Sabre Producciones,Magical Girl ,25785.0,7.1,7
Uncooperative Pictures,Time Lapse ,1533.0,5.8,7
Veritas Productions,Time Lapse ,1533.0,5.8,7
K&S Films,Relatos salvajes ,66956.0,7.7,7
El Deseo,Relatos salvajes ,66956.0,7.7,7
Telefé,Relatos salvajes ,66956.0,7.7,7
INCAA,Relatos salvajes ,66956.0,7.7,7
Decia Films,La sal de la Tierra ,9543.0,8.1,7
Amazonas Images,La sal de la Tierra ,9543.0,8.1,7
Solares Fondazione delle arti,La sal de la Tierra ,9543.0,8.1,7
HBO,True Detective (Miniserie de TV),65165.0,8.5,7
Anonymous Content,True Detective (Miniserie de TV),65165.0,8.5,7
HBO,True Detective (Miniserie de TV),65165.0,8.5,7
Sony Pictures Classics,Blue Jasmine ,40549.0,6.8,7
Gravier Productions,Blue Jasmine ,40549.0,6.8,7
Perdido Productions,Blue Jasmine ,40549.0,6.8,7
,Buscando a Vivian Maier ,1427.0,7.3,7
Warner Bros.,El gran Gatsby ,44756.0,6.2,7
Bazmark Films,El gran Gatsby ,44756.0,6.2,7
Red Wagon Productions,El gran Gatsby ,44756.0,6.2,7
Revolution Films,Rush ,39353.0,7.2,7
Working Title Films,Rush ,39353.0,7.2,7
Imagine Entertainment,Rush ,39353.0,7.2,7
Exclusive Media Group,Rush ,39353.0,7.2,7
Cross Creek Pictures,Rush ,39353.0,7.2,7
Double Negative,Rush ,39353.0,7.2,7
Universal Pictures,Rush ,39353.0,7.2,7
Liverpool,El congreso ,5852.0,6.7,7
Paul Thiltges Distributions,El congreso ,5852.0,6.7,7
Pandora Film,El congreso ,5852.0,6.7,7
Studio Rakete,El congreso ,5852.0,6.7,7
Truth Entertainment,Dallas Buyers Club ,55519.0,7.5,7
Voltage Pictures,Dallas Buyers Club ,55519.0,7.5,7
R² Films,Dallas Buyers Club ,55519.0,7.5,7
Evolution Independent,Dallas Buyers Club ,55519.0,7.5,7
Focus Features,Dallas Buyers Club ,55519.0,7.5,7
Illumination Entertainment,Minions: Cachorro (C),987.0,6.8,7
Universal Pictures,Minions: Cachorro (C),987.0,6.8,7
Wayfare Entertainment,Europa One ,8713.0,6.0,7
Misher Films,Europa One ,8713.0,6.0,7
Start Motion Pictures,Europa One ,8713.0,6.0,7
Studiocanal,A propósito de Llewyn Davis ,25503.0,6.7,7
Scott Rudin Productions,A propósito de Llewyn Davis ,25503.0,6.7,7
Mike Zoss Productions,A propósito de Llewyn Davis ,25503.0,6.7,7
Red Granite Pictures,El lobo de Wall Street ,102393.0,7.6,7
Appian Way,El lobo de Wall Street ,102393.0,7.6,7
Sikelia Productions,El lobo de Wall Street ,102393.0,7.6,7
Emjag Productions,El lobo de Wall Street ,102393.0,7.6,7
Martin Scorsese,El lobo de Wall Street ,102393.0,7.6,7
Paramount Pictures,El lobo de Wall Street ,102393.0,7.6,7
Studio Ghibli,El viento se levanta ,14819.0,7.2,7
Bona Fide,Nebraska ,31143.0,7.4,7
Columbia Pictures,La gran estafa americana ,47215.0,6.3,7
Annapurna Pictures,La gran estafa americana ,47215.0,6.3,7
Atlas Entertainment,La gran estafa americana ,47215.0,6.3,7
Wingnut Films,El Hobbit: La desolación de Smaug ,64023.0,6.7,7
New Line Cinema,El Hobbit: La desolación de Smaug ,64023.0,6.7,7
Metro-Goldwyn-Mayer (MGM),El Hobbit: La desolación de Smaug ,64023.0,6.7,7
Warner Bros.,El Hobbit: La desolación de Smaug ,64023.0,6.7,7
FilmDistrict,Posesión infernal (Evil Dead) ,18817.0,5.8,7
Ghost House Pictures,Posesión infernal (Evil Dead) ,18817.0,5.8,7
Sony Pictures Entertainment (SPE),Posesión infernal (Evil Dead) ,18817.0,5.8,7
TriStar Pictures,Posesión infernal (Evil Dead) ,18817.0,5.8,7
Sam Raimi,Posesión infernal (Evil Dead) ,18817.0,5.8,7
Worldview Entertainment,The Sacrament ,2002.0,6.1,7
Arcade Pictures,The Sacrament ,2002.0,6.1,7
Wingnut Films,El Hobbit: Un viaje inesperado ,84578.0,7.0,7
New Line Cinema,El Hobbit: Un viaje inesperado ,84578.0,7.0,7
Metro-Goldwyn-Mayer (MGM),El Hobbit: Un viaje inesperado ,84578.0,7.0,7
Warner Bros.,El Hobbit: Un viaje inesperado ,84578.0,7.0,7
Pixar Animation Studios,Brave (Indomable) ,48493.0,6.5,7
Walt Disney Pictures,Brave (Indomable) ,48493.0,6.5,7
Walt Disney Pictures,Frankenweenie ,27132.0,6.6,7
Tim Burton,Frankenweenie ,27132.0,6.6,7
Ixtlan Corporation,Salvajes ,16438.0,5.8,7
Onda Entertainment,Salvajes ,16438.0,5.8,7
Relativity Studios,Salvajes ,16438.0,5.8,7
Focus Features,Cruce de caminos ,17051.0,6.5,7
Hunting Lane Films,Cruce de caminos ,17051.0,6.5,7
Pines Productions,Cruce de caminos ,17051.0,6.5,7
Sidney Kimmel,Cruce de caminos ,17051.0,6.5,7
Mandarin Production,En la casa ,27045.0,7.3,7
Mars Films,En la casa ,27045.0,7.3,7
France 2 Cinema,En la casa ,27045.0,7.3,7
Foz,En la casa ,27045.0,7.3,7
Canal+,En la casa ,27045.0,7.3,7
Ciné+,En la casa ,27045.0,7.3,7
France Télévision,En la casa ,27045.0,7.3,7
Cofimage 23,En la casa ,27045.0,7.3,7
Palatine Étoile 9,En la casa ,27045.0,7.3,7
20th Century Fox,Lincoln ,28561.0,6.3,7
DreamWorks SKG,Lincoln ,28561.0,6.3,7
Amblin Entertainment,Lincoln ,28561.0,6.3,7
The Kennedy/Marshall Company,Lincoln ,28561.0,6.3,7
Participant Media,Lincoln ,28561.0,6.3,7
Reliance Entertainment,Lincoln ,28561.0,6.3,7
Dune Entertainment,Lincoln ,28561.0,6.3,7
Fox 2000 Pictures,La vida de Pi ,68430.0,7.1,7
Haishang Films,La vida de Pi ,68430.0,7.1,7
Les Films du Losange,Amor ,32381.0,7.6,7
X Filme Creative Pool,Amor ,32381.0,7.6,7
Wega-Film,Amor ,32381.0,7.6,7
France 3 Cinéma,Amor ,32381.0,7.6,7
ARD degeto,Amor ,32381.0,7.6,7
Bayerischer Rundfunk (BR),Amor ,32381.0,7.6,7
Westdeutscher Rundfunk (WDR),Amor ,32381.0,7.6,7
France Télévisions,Amor ,32381.0,7.6,7
Sony Pictures Entertainment (SPE),Django desencadenado ,116692.0,7.9,7
The Weinstein Company,Django desencadenado ,116692.0,7.9,7
Walt Disney Animation Studios,¡Rompe Ralph! ,42615.0,6.9,7
Walt Disney Pictures,¡Rompe Ralph! ,42615.0,6.9,7
Columbia Pictures,Millennium: Los hombres que no amaban a las mujeres ,36770.0,7.0,7
Scott Rudin Productions,Millennium: Los hombres que no amaban a las mujeres ,36770.0,7.0,7
Yellow Bird Films,Millennium: Los hombres que no amaban a las mujeres ,36770.0,7.0,7
Metro-Goldwyn-Mayer (MGM),Millennium: Los hombres que no amaban a las mujeres ,36770.0,7.0,7
Film Rites,Millennium: Los hombres que no amaban a las mujeres ,36770.0,7.0,7
Ground Control,Millennium: Los hombres que no amaban a las mujeres ,36770.0,7.0,7
Perro Verde Films,Arrugas ,17070.0,7.6,7
Cromosoma TV produccions,Arrugas ,17070.0,7.6,7
Fox Searchlight,Sound of My Voice ,1893.0,6.2,7
Skyscraper Films,Sound of My Voice ,1893.0,6.2,7
Quad Productions,Intocable ,110075.0,8.0,7
Gaumont,Intocable ,110075.0,8.0,7
TF1 Films Production,Intocable ,110075.0,8.0,7
Chaocorp production,Intocable ,110075.0,8.0,7
20th Century Fox Television,New Girl (Serie de TV),12826.0,6.6,7
Chernin Entertainment,New Girl (Serie de TV),12826.0,6.6,7
FOX,New Girl (Serie de TV),12826.0,6.6,7
The Mark Gordon Company,Código fuente ,48668.0,6.5,7
Vendome Pictures,Código fuente ,48668.0,6.5,7
Amblin Entertainment,Las aventuras de Tintín: El secreto del unicornio ,51929.0,6.7,7
Paramount Pictures,Las aventuras de Tintín: El secreto del unicornio ,51929.0,6.7,7
Columbia Pictures,Las aventuras de Tintín: El secreto del unicornio ,51929.0,6.7,7
Sony Pictures Entertainment (SPE),Las aventuras de Tintín: El secreto del unicornio ,51929.0,6.7,7
Zeppotron,Black Mirror: Tu historia completa (TV),42577.0,7.8,7
Warner Bros.,Harry Potter y las reliquias de la muerte - Parte 2 ,67465.0,7.0,7
Heyday Films,Harry Potter y las reliquias de la muerte - Parte 2 ,67465.0,7.0,7
GK Films,La invención de Hugo ,60650.0,6.8,7
Infinitum Nihil,La invención de Hugo ,60650.0,6.8,7
Paramount Pictures,La invención de Hugo ,60650.0,6.8,7
Martin Scorsese,La invención de Hugo ,60650.0,6.8,7
Artists Public Domain,Otra Tierra ,14578.0,6.3,7
Gravier Productions,Midnight in Paris ,79347.0,7.3,7
Mediapro,Midnight in Paris ,79347.0,7.3,7
Pontchartrain Productions,Midnight in Paris ,79347.0,7.3,7
Televisión de Galicia (TVG),Midnight in Paris ,79347.0,7.3,7
Versátil Cinema,Midnight in Paris ,79347.0,7.3,7
Sony Pictures Classics,Midnight in Paris ,79347.0,7.3,7
Paramount Pictures,Sin compromiso ,16821.0,5.1,7
Spyglass Entertainment,Sin compromiso ,16821.0,5.1,7
Cold Spring Pictures,Sin compromiso ,16821.0,5.1,7
The Montecito Picture Company,Sin compromiso ,16821.0,5.1,7
Handsomecharlie Films,Sin compromiso ,16821.0,5.1,7
Katalyst Films,Sin compromiso ,16821.0,5.1,7
DreamWorks SKG,Sin compromiso ,16821.0,5.1,7
Rogue,Sin Límites ,34027.0,6.4,7
Relativity Studios,Sin Límites ,34027.0,6.4,7
Paramount Pictures,Super 8 ,71119.0,6.4,7
Amblin Entertainment,Super 8 ,71119.0,6.4,7
Bad Robot,Super 8 ,71119.0,6.4,7
Warner Bros.,J. Edgar ,26489.0,6.1,7
Malpaso Productions,J. Edgar ,26489.0,6.1,7
Imagine Entertainment,J. Edgar ,26489.0,6.1,7
Castelao Productions,Mientras duermes ,49690.0,7.0,7
Canal+ España,Mientras duermes ,49690.0,7.0,7
Coser y Cantar,Mientras duermes ,49690.0,7.0,7
Filmax,Mientras duermes ,49690.0,7.0,7
Zeppotron,Black Mirror (Serie de TV),33972.0,8.2,7
Channel 4,Black Mirror (Serie de TV),33972.0,8.2,7
Netflix,Black Mirror (Serie de TV),33972.0,8.2,7
Zeppotron,Black Mirror: El himno nacional (TV),45653.0,7.6,7
Channel 4,Black Mirror: El himno nacional (TV),45653.0,7.6,7
Absolut Vodka,I'm Here ,7621.0,7.1,7
Columbia Pictures,La red social ,95368.0,6.8,7
Relativity Studios,La red social ,95368.0,6.8,7
Scott Rudin Productions,La red social ,95368.0,6.8,7
Trigger Street Productions,La red social ,95368.0,6.8,7
Michael De Luca Productions,La red social ,95368.0,6.8,7
Columbia Pictures,La red social ,95368.0,6.8,7
Filmakademie Baden-Württemberg,Loom (C),568.0,6.2,7
Can Can Club,Teclópolis (C),276.0,6.8,7
Ryan Woodward,Thought of You (C),202.0,6.2,7
Warner Bros.,Harry Potter y las reliquias de la muerte - Parte 1 ,67559.0,6.6,7
Heyday Films,Harry Potter y las reliquias de la muerte - Parte 1 ,67559.0,6.6,7
DreamWorks Animation,Cómo entrenar a tu dragón ,47695.0,7.2,7
Mad Hatter Entertainment,Cómo entrenar a tu dragón ,47695.0,7.2,7
Vertigo Entertainment,Cómo entrenar a tu dragón ,47695.0,7.2,7
Focus Features,Número 9 ,21213.0,6.4,7
Relativity Studios,Número 9 ,21213.0,6.4,7
Tim Burton Productions,Número 9 ,21213.0,6.4,7
Tim Burton,Número 9 ,21213.0,6.4,7
Timur Bekmambetov,Número 9 ,21213.0,6.4,7
Davis Films,El imaginario del Doctor Parnassus ,24638.0,6.2,7
British Columbia Film,El imaginario del Doctor Parnassus ,24638.0,6.2,7
Grosvenor Park,El imaginario del Doctor Parnassus ,24638.0,6.2,7
Infinity Features,El imaginario del Doctor Parnassus ,24638.0,6.2,7
Poo Poo Pictures,El imaginario del Doctor Parnassus ,24638.0,6.2,7
CPTC,El imaginario del Doctor Parnassus ,24638.0,6.2,7
The Movie Network,El imaginario del Doctor Parnassus ,24638.0,6.2,7
Galatée Films,Océanos ,12749.0,8.0,7
Pathé,Océanos ,12749.0,8.0,7
France 2 Cinema,Océanos ,12749.0,8.0,7
Notro Films,Océanos ,12749.0,8.0,7
JMH-TSR,Océanos ,12749.0,8.0,7
France 3 Cinéma,Océanos ,12749.0,8.0,7
La Fabrique de Films,Celda 211 ,120370.0,7.7,7
Morena Films,Celda 211 ,120370.0,7.7,7
Telecinco Cinema,Celda 211 ,120370.0,7.7,7
Vaca Films,Celda 211 ,120370.0,7.7,7
,Alma (C),4545.0,6.7,7
Smokewood Entertainment Group,Precious ,31748.0,6.7,7
Lee Daniels,Precious ,31748.0,6.7,7
Kandoor Moon,La dama y la muerte (C),12179.0,7.1,7
Manuel Sicilia,La dama y la muerte (C),12179.0,7.1,7
Les Armateurs,El secreto del libro de Kells ,5937.0,7.1,7
Vivi Film,El secreto del libro de Kells ,5937.0,7.1,7
Cartoon Saloon,El secreto del libro de Kells ,5937.0,7.1,7
France 2 Cinema,El secreto del libro de Kells ,5937.0,7.1,7
Telecinco Cinema,Ágora ,65780.0,6.5,7
Mod Producciones,Ágora ,65780.0,6.5,7
Himenóptero,Ágora ,65780.0,6.5,7
Warner Bros.,Harry Potter y el misterio del príncipe ,57017.0,6.4,7
Heyday Films,Harry Potter y el misterio del príncipe ,57017.0,6.4,7
Warner Bros.,Invictus ,67504.0,7.0,7
Spyglass Entertainment,Invictus ,67504.0,7.0,7
Malpaso Productions,Invictus ,67504.0,7.0,7
Revelations Entertainment,Invictus ,67504.0,7.0,7
Focus Features,Los mundos de Coraline ,51498.0,7.1,7
Laika Entertainment,Los mundos de Coraline ,51498.0,7.1,7
Pandemonium,Los mundos de Coraline ,51498.0,7.1,7
Christal Films,Las vidas posibles de Mr. Nobody ,43089.0,7.2,7
Integral Films,Las vidas posibles de Mr. Nobody ,43089.0,7.2,7
Lago Film,Las vidas posibles de Mr. Nobody ,43089.0,7.2,7
Toto & Co Films,Las vidas posibles de Mr. Nobody ,43089.0,7.2,7
Pan Européenne,Las vidas posibles de Mr. Nobody ,43089.0,7.2,7
Columbia Pictures,Bienvenidos a Zombieland ,65470.0,6.6,7
Relativity Studios,Bienvenidos a Zombieland ,65470.0,6.6,7
Pariah,Bienvenidos a Zombieland ,65470.0,6.6,7
Artists Public Domain,Until the Light Takes Us ,588.0,6.6,7
DreamWorks SKG,Revolutionary Road ,46797.0,6.9,7
Paramount Vantage,Revolutionary Road ,46797.0,6.9,7
BBC Film,Revolutionary Road ,46797.0,6.9,7
Imagine Entertainment,El intercambio ,66174.0,7.2,7
Malpaso Productions,El intercambio ,66174.0,7.2,7
University of California Los Angeles (UCLA),Sebastian's Voodoo (C),1145.0,6.5,7
Tornasol Films,Los crímenes de Oxford ,49387.0,5.7,7
Estudios Picasso,Los crímenes de Oxford ,49387.0,5.7,7
La Fabrique de Films,Los crímenes de Oxford ,49387.0,5.7,7
Telecinco Cinema,Los crímenes de Oxford ,49387.0,5.7,7
Eurimages,Los crímenes de Oxford ,49387.0,5.7,7
Canal+ España,Los crímenes de Oxford ,49387.0,5.7,7
Wild Bunch,El luchador ,45957.0,7.2,7
Protozoa Pictures,El luchador ,45957.0,7.2,7
Fox Searchlight,El luchador ,45957.0,7.2,7
Robot Communications Inc.,La maison en petits cubes (C),14959.0,7.8,7
The Animation Show of Shows,La maison en petits cubes (C),14959.0,7.8,7
Summit Entertainment,En tierra hostil ,66240.0,6.7,7
First Light Production,En tierra hostil ,66240.0,6.7,7
Kingsgate Films,En tierra hostil ,66240.0,6.7,7
Grosvenor Park Media,En tierra hostil ,66240.0,6.7,7
Voltage Pictures,En tierra hostil ,66240.0,6.7,7
Summit Entertainment,En tierra hostil ,66240.0,6.7,7
Warner Bros.,RocknRolla ,55121.0,7.1,7
Dark Castle Entertainment,RocknRolla ,55121.0,7.1,7
Studiocanal,RocknRolla ,55121.0,7.1,7
Constantin Film,La ola ,83792.0,7.4,7
Rat Pack Filmproduktion,La ola ,83792.0,7.4,7
Medienfonds GFP,La ola ,83792.0,7.4,7
B.A. Produktion,La ola ,83792.0,7.4,7
Columbia Pictures,21 blackjack ,38108.0,6.3,7
Warner Bros.,El caballero oscuro ,153618.0,8.1,7
Legendary Pictures,El caballero oscuro ,153618.0,8.1,7
Syncopy Production,El caballero oscuro ,153618.0,8.1,7
DC Comics,El caballero oscuro ,153618.0,8.1,7
Warner Bros.,El caballero oscuro ,153618.0,8.1,7
Bazmark Films,Australia ,37201.0,5.8,7
20th Century Fox,Australia ,37201.0,5.8,7
Nexus Productions,This Way Up (C),844.0,6.3,7
Disneynature,"Tierra, la película de nuestro planeta ",15361.0,7.9,7
BBC,"Tierra, la película de nuestro planeta ",15361.0,7.9,7
Discovery Channel,"Tierra, la película de nuestro planeta ",15361.0,7.9,7
Discovery Channel,"Tierra, la película de nuestro planeta ",15361.0,7.9,7
BBC,"Tierra, la película de nuestro planeta ",15361.0,7.9,7
Warner Bros.,Harry Potter y la orden del Fénix ,73505.0,6.4,7
Filmax,[•REC] ,85919.0,6.6,7
Castelao Productions,[•REC] ,85919.0,6.6,7
Instituto de Crédito Oficial (ICO),[•REC] ,85919.0,6.6,7
ICIC,[•REC] ,85919.0,6.6,7
RTVE,[•REC] ,85919.0,6.6,7
Canal+ España,[•REC] ,85919.0,6.6,7
Filmax,[•REC] ,85919.0,6.6,7
Pixar Animation Studios,Tu amiga la rata (C),1910.0,6.3,7
Walt Disney Pictures,Tu amiga la rata (C),1910.0,6.3,7
Notro Films,La habitación de Fermat ,27398.0,6.2,7
Producciones bajo la lluvia,Gritos en el pasillo ,2034.0,6.3,7
Perro Verde Films,Gritos en el pasillo ,2034.0,6.3,7
,Los falsificadores ,24312.0,7.2,7
